"Station","Latitude","Longitude","Datetime","Notes","SampleCode","Chlorophyll","Pheophytin","DissAmmonia_Sign","DissAmmonia","DissCalcium","DissChloride","DissNitrateNitrite_Sign","DissNitrateNitrite","DOC","TOC","DON","DissOrthophos_Sign","DissOrthophos","TotPhos","DissSilica","TDS","TSS","VSS","TKN","Year","WY","Month"
"LIS",38.474816,-121.588584,2013-12-03 14:05:00,NA,"ES1213B0444",5.75,2.81,"=",0.02,23,36,"=",0.19,8.5,6.5,0.4,"=",0.1,0.21,14.9,269,39,6,0.7,2013,2014,"12"
"LIS",38.474816,-121.588584,2013-12-17 12:44:00,NA,"ES1213B0480",6.75,0.97,"=",0.04,25,32,"=",0.72,5.7,6,0.5,"=",0.18,0.25,15.9,307,12,2,0.7,2013,2014,"12"
"LIS",38.474816,-121.588584,2014-01-02 11:50:00,NA,"ES0114B0003",8.76,3.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,"1"
"LIS",38.474816,-121.588584,2014-01-08 11:39:00,NA,"ES0114B0007",6.47,2.98,"=",0.07,36,60,"=",0.99,8.3,8.4,0.8,"=",0.23,0.35,18.2,481,25,4,1.1,2014,2014,"1"
"LIS",38.474816,-121.588584,2014-01-15 09:30:00,NA,"ES0114B0012",7.28,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,"1"
"LIS",38.474816,-121.588584,2014-01-21 15:50:00,NA,"ES0114B0016",9.08,4.01,"=",0.32,40,71,"=",0.92,8.9,9.3,0.9,"=",0.27,0.47,20.9,512,19,2,1.6,2014,2014,"1"
"LIS",38.474816,-121.588584,2014-01-29 13:19:00,NA,"ES0114B0021",11.11,5.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,"1"
"LIS",38.474816,-121.588584,2014-02-04 11:23:00,NA,"ES0214B0030",8.97,3.89,"=",0.31,45,76,"=",0.38,9.3,9.9,0.1,"=",0.29,0.43,19.7,574,11,2,1.4,2014,2014,"2"
"LIS",38.474816,-121.588584,2014-02-12 13:34:00,NA,"ES0214B0035",11.96,7.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,"2"
"LIS",38.474816,-121.588584,2014-02-18 13:00:00,NA,"ES0214B0051",9.16,4.31,"=",0.15,37,48,"=",1.05,9.3,10.1,1,"=",0.28,0.47,19.9,489,66,9,1.6,2014,2014,"2"
"LIS",38.474816,-121.588584,2014-02-24 14:20:00,NA,"ES0214B0071",14.31,3.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,"2"
"LIS",38.474816,-121.588584,2014-03-06 11:57:00,NA,"ES0314B0080",13.24,4.7,"=",0.09,34,58,"=",0.84,8.9,9.4,0.9,"=",0.24,0.42,14.9,498,55,10,1.4,2014,2014,"3"
"LIS",38.474816,-121.588584,2014-03-12 12:07:00,NA,"ES0314B0095",14.95,5.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,"3"
"LIS",38.474816,-121.588584,2014-03-18 13:16:00,NA,"ES0314B0099",9.83,10.21,"=",0.05,41,74,"=",0.75,11.2,11.9,0.8,"=",0.3,0.57,14.4,578,68,9,1.5,2014,2014,"3"
"LIS",38.474816,-121.588584,2014-03-25 15:39:00,NA,"ES0314B0104",13.67,4.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,"3"
"LIS",38.474816,-121.588584,2014-04-07 10:35:00,NA,"ES0414B0118",5.66,4.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,"4"
"LIS",38.474816,-121.588584,2014-04-08 12:26:00,NA,"ES0414B0108",5.51,3.73,"=",0.06,31,51,"=",1.25,6.1,6.7,0.7,"=",0.37,0.53,12.2,431,49,8,1.2,2014,2014,"4"
"LIS",38.474816,-121.588584,2014-04-22 12:39:00,NA,"ES0414B0122",14.52,6.11,"=",0.02,37,61,"=",1.29,8.5,9.2,1,"=",0.5,0.62,11.5,497,43,5,1.1,2014,2014,"4"
"LIS",38.474816,-121.588584,2014-05-06 10:50:00,NA,"ES0514B0131",13.46,6.43,"=",0.03,33,56,"=",0.9,6.1,6.5,0.7,"=",0.31,0.46,10.5,456,39,5,1,2014,2014,"5"
"LIS",38.474816,-121.588584,2014-05-20 10:42:00,NA,"ES0514B0140",7.35,3.51,"=",0.04,24,46,"=",0.62,5.6,5.6,0.6,"=",0.31,0.48,17.1,357,55,8,1.1,2014,2014,"5"
"LIS",38.474816,-121.588584,2014-06-09 10:50:00,NA,"ES0614B0149",12.18,4.57,"=",0.02,18,24,"=",0.47,4.1,4.7,0.5,"=",0.16,0.31,18.8,219,89,13,0.9,2014,2014,"6"
"LIS",38.474816,-121.588584,2014-06-17 11:10:00,NA,"ES0614B0164",8.18,2.99,"=",0.05,18,30,"=",0.56,4.9,5.4,0.5,"=",0.16,0.26,18.8,219,70,14,0.6,2014,2014,"6"
"LIS",38.474816,-121.588584,2014-06-23 12:07:00,NA,"ES0614B0169",6.31,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,"6"
"LIS",38.474816,-121.588584,2014-07-08 08:08:00,NA,"ES0714B0173",9.33,5.06,"=",0.01,15,20,"=",0.42,3.6,4.2,0.4,"=",0.14,0.27,19.7,176,66,6,0.9,2014,2014,"7"
"LIS",38.474816,-121.588584,2014-07-23 11:02:00,NA,"ES0714B0178",12.82,3.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,"7"
"LIS",38.474816,-121.588584,2014-08-05 11:01:00,NA,"ES0814B0227",9.51,4.47,"=",0.04,15,17,"=",0.1,3.5,4,0.3,"=",0.11,0.23,19.1,162,69,7,0.6,2014,2014,"8"
"LIS",38.474816,-121.588584,2014-08-14 13:27:00,NA,"ES0814B0289",13.88,1.97,"=",0.01,15,16,"=",0.03,3.5,4.5,0.2,"=",0.1,0.18,18.5,165,48,7,0.5,2014,2014,"8"
"LIS",38.474816,-121.588584,2014-08-21 12:03:00,NA,"ES0814B0303",13.24,3.95,"=",0.02,15,15,"=",0.04,3.3,4,0.2,"=",0.1,0.18,19.5,159,61,9,0.5,2014,2014,"8"
"LIS",38.474816,-121.588584,2014-08-27 12:15:00,NA,"ES0814B0340",16.45,1.94,"=",0.01,17,18,"=",0.03,NA,NA,0.3,"=",0.09,0.16,17.8,183,31,5,0.7,2014,2014,"8"
"LIS",38.474816,-121.588584,2014-09-04 13:41:00,NA,"ES0914B0374",15.38,3.16,"=",0.02,17,20,"<",0.01,3.7,4.3,0.3,"=",0.08,0.15,16.7,180,47,7,0.6,2014,2014,"9"
"LIS",38.474816,-121.588584,2014-09-10 14:04:00,NA,"ES0914B0405",15.81,1.39,"=",0.02,24,1,"<",0.01,4.9,5.4,0.3,"=",0.09,0.12,20,281,43,8,0.7,2014,2014,"9"
"LIS",38.474816,-121.588584,2014-09-18 11:05:00,NA,"ES0914B0425",18.58,5.49,"=",0.02,43,95,"=",0.32,6.3,6.6,0.8,"=",0.29,0.36,28.7,551,36,5,0.9,2014,2014,"9"
"LIS",38.474816,-121.588584,2014-09-24 13:03:00,NA,"ES0914B0459",17.73,6.49,"=",0.04,42,104,"=",0.07,6.6,6.7,0.5,"=",0.18,0.23,28.9,589,59,9,0.8,2014,2014,"9"
"LIS",38.474816,-121.588584,2014-10-02 12:30:00,NA,"ES1014B0491",16.87,6,"=",0.03,41,84,"=",0.03,NA,NA,0.5,"=",0.14,0.23,24.7,514,88,15,0.9,2014,2015,"10"
"LIS",38.474816,-121.588584,2014-10-07 11:01:00,NA,"ES1014B0505",10.89,8.84,"=",0.02,20,27,"<",0.01,4.1,5.4,0.3,"=",0.09,0.22,19.9,228,80,12,0.7,2014,2015,"10"
"LIS",38.474816,-121.588584,2014-10-13 13:00:00,NA,"ES1014B0537",7.73,2.26,"=",0.02,15,15,"=",0.1,2.7,2.7,0.2,"=",0.11,0.12,17.4,145,49,8,0.3,2014,2015,"10"
"LIS",38.474816,-121.588584,2014-10-23 08:54:00,NA,"ES1014B0551",3.76,3.07,"=",0.02,17,18,"<",0.01,3.1,3.3,0.2,"=",0.03,0.07,18,170,38,6,0.3,2014,2015,"10"
"LIS",38.474816,-121.588584,2014-10-27 12:10:00,NA,"ES1014B0571",4.91,2.64,"=",0.01,17,21,"<",0.01,2.9,3.3,0.2,"=",0.05,0.09,17.1,172,30,5,0.4,2014,2015,"10"
"LIS",38.474816,-121.588584,2014-11-06 10:17:00,NA,"ES1114B0579",3.25,1.79,"<",0.01,20,25,"=",0.03,3.1,3.3,0.3,"=",0.04,0.07,18.1,166,28,4,0.3,2014,2015,"11"
"LIS",38.474816,-121.588584,2014-11-19 09:41:00,NA,"ES1114B0590",3.95,2.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2015,"11"
"LIS",38.474816,-121.588584,2014-12-02 11:07:00,NA,"ES1214B0600",1.05,8.9,"=",0.04,27,47,"=",0.09,4.8,5.1,0.3,"=",0.15,0.23,18,330,18,2,0.6,2014,2015,"12"
"LIS",38.474816,-121.588584,2014-12-02 11:07:00,NA,"ES1214B0616",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2015,"12"
"LIS",38.474816,-121.588584,2014-12-18 12:53:00,NA,"ES1214B0632",1.67,4.42,"=",0.07,20,28,"=",0.61,9.1,11.4,0.8,"=",0.15,0.45,15.2,193,170,20,1.5,2014,2015,"12"
"LIS",38.474816,-121.588584,2014-12-30 13:55:00,NA,"ES1214B0642",2.44,5.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2015,"12"
"LIS",38.474816,-121.588584,2015-01-08 13:56:00,NA,"ES0115B0007",5.66,1.68,"=",0.24,32,43,"=",0.6,8.3,8.6,0.7,"=",0.2,0.36,19.8,368,32,7,1.4,2015,2015,"1"
