date,flow_yolo,height_sac_na,inund_days,inundation,doy1998
1998-05-11,1250,27.16,0,0,131
1998-05-12,199,26.92,0,0,132
1998-05-13,152,27.44,0,0,133
1998-05-14,136,28.26,0,0,134
1998-05-15,1203,28.26,0,0,135
1998-05-16,1304,28.08,0,0,136
1998-05-17,1336,28.63,0,0,137
1998-05-18,1238,29.27,0,0,138
1998-05-19,210,29.26,0,0,139
1998-05-20,205,29.09,0,0,140
1998-05-21,226,28.59,0,0,141
1998-05-22,285,28.02,0,0,142
1998-05-23,321,27.47,0,0,143
1998-05-24,362,27.08,0,0,144
1998-05-25,379,27.35,0,0,145
1998-05-26,378,28.34,0,0,146
1998-05-27,399,29.04,0,0,147
1998-05-28,247,29.44,0,0,148
1998-05-29,1871,31.02,0,0,149
1998-05-30,3912,32.66,0,0,150
1998-05-31,4750,34.58,1,1,151
1998-06-01,10735,35.08,2,1,152
1998-06-02,19051,35.08,3,1,153
1998-06-03,16081,34.81,4,1,154
1998-06-04,11397,34.52,5,1,155
1998-06-05,6738,34.29,6,1,156
1998-06-06,5076,34.13,7,1,157
1998-06-07,4109,33.96,8,1,158
1998-06-08,3203,33.77,9,1,159
1998-06-09,2460,33.4,0,0,160
1998-06-10,2049,32.76,0,0,161
1998-06-11,1835,32.09,0,0,162
1998-06-12,2071,31.51,0,0,163
1998-06-13,2596,31.39,0,0,164
1998-06-14,2700,31.56,0,0,165
1998-06-15,2771,31.67,0,0,166
1998-06-16,2591,31.88,0,0,167
1998-06-17,2214,31.6,0,0,168
1998-06-18,2040,31.23,0,0,169
1998-06-19,1840,30.55,0,0,170
1998-06-20,514,29.64,0,0,171
1998-06-21,503,28.83,0,0,172
1998-06-22,545,28.21,0,0,173
1998-06-23,575,27.75,0,0,174
1998-06-24,618,27.35,0,0,175
1998-06-25,632,26.74,0,0,176
1998-06-26,609,25.96,0,0,177
1998-06-27,598,25.37,0,0,178
1998-06-28,618,25.26,0,0,179
1998-06-29,605,25.41,0,0,180
1998-06-30,596,24.9934042553192,0,0,181
1998-07-01,584,24.3725531914894,0,0,182
1998-07-02,560,23.9690845070423,0,0,183
1998-07-03,549,23.91,0,0,184
1998-07-04,540,23.85,0,0,185
1998-07-05,505,23.61,0,0,186
1998-07-06,540,23.45,0,0,187
1998-07-07,570,23.35,0,0,188
1998-07-08,606,23.13,0,0,189
1998-07-09,636,22.93,0,0,190
1998-07-10,638,22.75,0,0,191
1998-07-11,608,22.38,0,0,192
1998-07-12,568,22.21,0,0,193
1998-07-13,572,21.83,0,0,194
1998-07-14,562,21.67,0,0,195
1998-07-15,535,21.52,0,0,196
1998-07-16,571,21.39,0,0,197
1998-07-17,613,21.13,0,0,198
1998-07-18,647,20.93,0,0,199
1998-07-19,648,20.74,0,0,200
1998-07-20,641,20.59,0,0,201
1998-07-21,638,20.52,0,0,202
1998-07-22,607,20.48,0,0,203
1998-07-23,580,20.46,0,0,204
1998-07-24,553,20.42,0,0,205
1998-07-25,529,20.47,0,0,206
1998-07-26,503,20.54,0,0,207
1998-07-27,524,20.61,0,0,208
1998-07-28,548,20.61,0,0,209
1998-07-29,556,20.59,0,0,210
1998-07-30,566,20.52,0,0,211
1998-07-31,570,20.56,0,0,212
1998-08-01,557,20.6,0,0,213
1998-08-02,540,20.67,0,0,214
1998-08-03,540,20.73,0,0,215
1998-08-04,581,20.81,0,0,216
1998-08-05,605,20.77,0,0,217
1998-08-06,601,20.8,0,0,218
1998-08-07,585,20.78,0,0,219
1998-08-08,554,20.68,0,0,220
1998-08-09,508,20.72,0,0,221
1998-08-10,530,20.88,0,0,222
1998-08-11,554,20.99,0,0,223
1998-08-12,564,20.95,0,0,224
1998-08-13,573,20.97,0,0,225
1998-08-14,554,21.03,0,0,226
1998-08-15,514,20.97,0,0,227
1998-08-16,496,20.79,0,0,228
1998-08-17,519,20.71,0,0,229
1998-08-18,513,20.78,0,0,230
1998-08-19,536,20.98,0,0,231
1998-08-20,536,21.07,0,0,232
1998-08-21,507,21.09,0,0,233
1998-08-22,468,21.15,0,0,234
1998-08-23,449,21.21,0,0,235
1998-08-24,497,21.35,0,0,236
1998-08-25,531,21.45,0,0,237
1998-08-26,516,21.71,0,0,238
1998-08-27,501,21.66,0,0,239
1998-08-28,508,21.44,0,0,240
1998-08-29,490,21.26,0,0,241
1998-08-30,430,21.25,0,0,242
1998-08-31,434,21.26,0,0,243
1998-09-01,457,21.26,0,0,244
1998-09-02,443,21.46,0,0,245
1998-09-03,434,21.7,0,0,246
1998-09-04,445,21.77,0,0,247
1998-09-05,471,22.06,0,0,248
1998-09-06,519,22.1,0,0,249
1998-09-07,518,22.13,0,0,250
1998-09-08,495,22.2,0,0,251
1998-09-09,462,22.31,0,0,252
1998-09-10,435,22.28,0,0,253
1998-09-11,406,22.14,0,0,254
1998-09-12,361,21.84,0,0,255
1998-09-13,343,21.49,0,0,256
1998-09-14,346,21.06,0,0,257
1998-09-15,344,20.56,0,0,258
1998-09-16,375,20.33,0,0,259
1998-09-17,396,20.5,0,0,260
1998-09-18,421,20.58,0,0,261
1998-09-19,440,20.53,0,0,262
1998-09-20,402,20.48,0,0,263
1998-09-21,396,20.36,0,0,264
1998-09-22,404,19.95,0,0,265
1998-09-23,405,19.95,0,0,266
1998-09-24,414,19.79,0,0,267
1998-09-25,407,19.7,0,0,268
1998-09-26,348,19.54,0,0,269
1998-09-27,292,19.44,0,0,270
1998-09-28,281,19.49,0,0,271
1998-09-29,253,19.42,0,0,272
1998-09-30,229,19.4,0,0,273
1998-10-01,223,19.35,0,0,274
1998-10-02,220,19.22,0,0,275
1998-10-03,220,19.11,0,0,276
1998-10-04,227,18.93,0,0,277
1998-10-05,237,18.72,0,0,278
1998-10-06,265,18.52,0,0,279
1998-10-07,271,18.27,0,0,280
1998-10-08,270,18.08,0,0,281
1998-10-09,249,17.86,0,0,282
1998-10-10,226,17.59,0,0,283
1998-10-11,221,17.34,0,0,284
1998-10-12,215,17.16,0,0,285
1998-10-13,215,16.99,0,0,286
1998-10-14,218,16.71,0,0,287
1998-10-15,208,16.54,0,0,288
1998-10-16,203,16.32,0,0,289
1998-10-17,190,16.25,0,0,290
1998-10-18,189,16.13,0,0,291
1998-10-19,186,15.94,0,0,292
1998-10-20,210,15.89,0,0,293
1998-10-21,227,15.84,0,0,294
1998-10-22,240,15.74,0,0,295
1998-10-23,248,15.69,0,0,296
1998-10-24,209,15.56,0,0,297
1998-10-25,169,15.78,0,0,298
1998-10-26,154,16.54,0,0,299
1998-10-27,150,16.67,0,0,300
1998-10-28,132,16.7,0,0,301
1998-10-29,104,16.7,0,0,302
1998-10-30,92,16.62,0,0,303
1998-10-31,86,16.49,0,0,304
1998-11-01,74,16.35,0,0,305
1998-11-02,20,16.25,0,0,306
1998-11-03,30,16.22,0,0,307
1998-11-04,92,16.2,0,0,308
1998-11-05,100,16.16,0,0,309
1998-11-06,86,16.15,0,0,310
1998-11-07,73,16.27,0,0,311
1998-11-08,63,16.98,0,0,312
1998-11-09,58,17.24,0,0,313
1998-11-10,55,17.37,0,0,314
1998-11-11,51,17.37,0,0,315
1998-11-12,53,17.37,0,0,316
1998-11-13,58,17.64,0,0,317
1998-11-14,60,17.68,0,0,318
1998-11-15,38,18.01,0,0,319
1998-11-16,87,18.34,0,0,320
1998-11-17,85,18.57,0,0,321
1998-11-18,61,18.77,0,0,322
1998-11-19,73,20.83,0,0,323
1998-11-20,48,21.5,0,0,324
1998-11-21,50,21.7,0,0,325
1998-11-22,50,21.69,0,0,326
1998-11-23,50,23.26,0,0,327
1998-11-24,63,24.77,0,0,328
1998-11-25,1195,26.37,0,0,329
1998-11-26,1160,26.37,0,0,330
1998-11-27,1130,25.91,0,0,331
1998-11-28,1109,26.27,0,0,332
1998-11-29,50,26.4,0,0,333
1998-11-30,67,26.15,0,0,334
1998-12-01,1355,28.62,0,0,335
1998-12-02,1955,30.27,0,0,336
1998-12-03,2173,31.42,0,0,337
1998-12-04,2010,32.68,0,0,338
1998-12-05,1815,33.38,0,0,339
1998-12-06,1610,33.69,1,1,340
1998-12-07,1520,33.88,2,1,341
1998-12-08,1720,33.9,3,1,342
1998-12-09,1680,33.86,4,1,343
1998-12-10,1220,33.49,0,0,344
1998-12-11,60,33.09,0,0,345
1998-12-12,60,32.55,0,0,346
1998-12-13,60,32,0,0,347
1998-12-14,45,31.55,0,0,348
1998-12-15,40,31.23,0,0,349
1998-12-16,60,31,0,0,350
1998-12-17,55,30.3,0,0,351
1998-12-18,50,28.98,0,0,352
1998-12-19,57,27.75,0,0,353
1998-12-20,45,27.04,0,0,354
1998-12-21,45,26.37,0,0,355
1998-12-22,45,25.49,0,0,356
1998-12-23,84,24.46,0,0,357
1998-12-24,50,23.46,0,0,358
1998-12-25,50,22.49,0,0,359
1998-12-26,50,21.79,0,0,360
1998-12-27,50,21.29,0,0,361
1998-12-28,50,20.97,0,0,362
1998-12-29,47,20.74,0,0,363
1998-12-30,50,20.63,0,0,364
1998-12-31,50,20.44,0,0,365
1999-01-01,50,20.05,0,0,366
1999-01-02,43,19.7,0,0,367
1999-01-03,40,19.54,0,0,368
1999-01-04,45,19.48,0,0,369
1999-01-05,50,19.43,0,0,370
1999-01-06,50,19.37,0,0,371
1999-01-07,50,19.3,0,0,372
1999-01-08,55,19.24,0,0,373
1999-01-09,60,18.84,0,0,374
1999-01-10,48,18.74,0,0,375
1999-01-11,37,18.63,0,0,376
1999-01-12,35,18.52,0,0,377
1999-01-13,43,18.43,0,0,378
1999-01-14,50,18.35,0,0,379
1999-01-15,52,18.28,0,0,380
1999-01-16,55,18.21,0,0,381
1999-01-17,55,18.17,0,0,382
1999-01-18,55,18.85,0,0,383
1999-01-19,55,22.32,0,0,384
1999-01-20,52,26.81,0,0,385
1999-01-21,50,28.65,0,0,386
1999-01-22,50,29.76,0,0,387
1999-01-23,47,31.12,0,0,388
1999-01-24,45,32.84,0,0,389
1999-01-25,45,32.98,0,0,390
1999-01-26,45,32.84,0,0,391
1999-01-27,45,32.56,0,0,392
1999-01-28,45,31.87,0,0,393
1999-01-29,45,30.94,0,0,394
1999-01-30,42,29.8,0,0,395
1999-01-31,40,28.51,0,0,396
1999-02-01,40,27.27,0,0,397
1999-02-02,40,26.3,0,0,398
1999-02-03,40,25.15,0,0,399
1999-02-04,40,23.93,0,0,400
1999-02-05,40,23.2,0,0,401
1999-02-06,40,25.21,0,0,402
1999-02-07,34,29.03,0,0,403
1999-02-08,30,32.29,0,0,404
1999-02-09,1410,34.91,1,1,405
1999-02-10,15437,35.43,2,1,406
1999-02-11,31150,35.44,3,1,407
1999-02-12,27750,35.43,4,1,408
1999-02-13,21243,35.12,5,1,409
1999-02-14,15540,34.78,6,1,410
1999-02-15,10750,34.54,7,1,411
1999-02-16,6952,34.36,8,1,412
1999-02-17,6486,34.97,9,1,413
1999-02-18,20840,35.27,10,1,414
1999-02-19,29240,35.48,11,1,415
1999-02-20,31345,35.51,12,1,416
1999-02-21,31550,35.6,13,1,417
1999-02-22,33150,35.6,14,1,418
1999-02-23,30350,35.54,15,1,419
1999-02-24,23844,35.29,16,1,420
1999-02-25,18740,34.94,17,1,421
1999-02-26,16440,34.74,18,1,422
1999-02-27,14440,34.62,19,1,423
1999-02-28,12540,34.56,20,1,424
1999-03-01,12747,34.74,21,1,425
1999-03-02,16350,34.86,22,1,426
1999-03-03,18450,35.02,23,1,427
1999-03-04,20050,35.06,24,1,428
1999-03-05,19750,35.03,25,1,429
1999-03-06,19150,35.04,26,1,430
1999-03-07,17650,34.97,27,1,431
1999-03-08,15750,34.86,28,1,432
1999-03-09,14240,34.77,29,1,433
1999-03-10,12550,34.65,30,1,434
1999-03-11,10245,34.5,31,1,435
1999-03-12,7500,34.41,32,1,436
1999-03-13,5137,34.2,33,1,437
1999-03-14,3670,34.01,34,1,438
1999-03-15,2575,33.71,35,1,439
1999-03-16,2963,33,0,0,440
1999-03-17,3584,31.99,0,0,441
1999-03-18,4020,30.96,0,0,442
1999-03-19,4047,29.9,0,0,443
1999-03-20,3630,28.96,0,0,444
1999-03-21,2600,27.96,0,0,445
1999-03-22,2230,26.91,0,0,446
1999-03-23,1963,26.02,0,0,447
1999-03-24,1587,24.97,0,0,448
1999-03-25,2518,24.45,0,0,449
1999-03-26,4870,27.81,0,0,450
1999-03-27,5250,28.31,0,0,451
1999-03-28,5087,28.36,0,0,452
1999-03-29,4820,28.24,0,0,453
1999-03-30,4565,27.38,0,0,454
1999-03-31,4375,26.34,0,0,455
1999-04-01,4189,24.83,0,0,456
1999-04-02,3347,23.71,0,0,457
1999-04-03,2555,22.97,0,0,458
1999-04-04,2045,22.34,0,0,459
1999-04-05,1645,21.91,0,0,460
1999-04-06,1815,21.62,0,0,461
1999-04-07,1555,21.54,0,0,462
1999-04-08,1548,21.8,0,0,463
1999-04-09,1715,21.8,0,0,464
1999-04-10,1717,22.12,0,0,465
1999-04-11,1700,22.63,0,0,466
1999-04-12,2890,24.66,0,0,467
1999-04-13,4064,26,0,0,468
1999-04-14,4173,25.98,0,0,469
1999-04-15,3550,25.41,0,0,470
1999-04-16,2457,25.2,0,0,471
1999-04-17,1897,25.03,0,0,472
1999-04-18,1552,25.05,0,0,473
1999-04-19,1359,24.99,0,0,474
1999-04-20,1320,24.82,0,0,475
1999-04-21,1363,24.42,0,0,476
1999-04-22,1338,24.16,0,0,477
1999-04-23,215,23.67,0,0,478
1999-04-24,240,22.82,0,0,479
1999-04-25,273,22.12,0,0,480
1999-04-26,334,21.53,0,0,481
1999-04-27,350,21.21,0,0,482
1999-04-28,342,20.95,0,0,483
1999-04-29,318,20.79,0,0,484
1999-04-30,366,20.67,0,0,485
1999-05-01,393,20.39,0,0,486
1999-05-02,419,20.12,0,0,487
1999-05-03,432,19.93,0,0,488
1999-05-04,461,20.08,0,0,489
1999-05-05,499,20.07,0,0,490
1999-05-06,518,20.08,0,0,491
1999-05-07,543,19.26,0,0,492
1999-05-08,538,18.86,0,0,493
1999-05-09,560,19.17,0,0,494
1999-05-10,582,18.89,0,0,495
1999-05-11,610,18.58,0,0,496
1999-05-12,629,18.19,0,0,497
1999-05-13,596,17.77,0,0,498
1999-05-14,552,17.9,0,0,499
1999-05-15,549,17.85,0,0,500
1999-05-16,583,17.36,0,0,501
1999-05-17,627,17.06,0,0,502
1999-05-18,651,17,0,0,503
1999-05-19,649,16.94,0,0,504
1999-05-20,617,17.02,0,0,505
1999-05-21,611,17.1,0,0,506
1999-05-22,606,17.22,0,0,507
1999-05-23,598,17.72,0,0,508
1999-05-24,590,17.88,0,0,509
1999-05-25,598,17.91,0,0,510
1999-05-26,607,17.9,0,0,511
1999-05-27,608,17.47,0,0,512
1999-05-28,610,17.7,0,0,513
1999-05-29,632,18.04,0,0,514
1999-05-30,640,18.45,0,0,515
1999-05-31,662,18.7,0,0,516
1999-06-01,647,18.73,0,0,517
1999-06-02,621,18.58,0,0,518
1999-06-03,593,18.37,0,0,519
1999-06-04,561,19.03,0,0,520
1999-06-05,503,19.66,0,0,521
1999-06-06,495,19.8,0,0,522
1999-06-07,519,19.7,0,0,523
1999-06-08,557,19.1,0,0,524
1999-06-09,565,18.52,0,0,525
1999-06-10,587,17.96,0,0,526
1999-06-11,614,17.42,0,0,527
1999-06-12,609,17.21,0,0,528
1999-06-13,615,16.83,0,0,529
1999-06-14,605,16.67,0,0,530
1999-06-15,589,16.52,0,0,531
1999-06-16,609,16.36,0,0,532
1999-06-17,605,16.41,0,0,533
1999-06-18,562,16.47,0,0,534
1999-06-19,552,16.43,0,0,535
1999-06-20,570,16.34,0,0,536
1999-06-21,567,16.46,0,0,537
1999-06-22,606,16.52,0,0,538
1999-06-23,643,16.59,0,0,539
1999-06-24,674,16.54,0,0,540
1999-06-25,666,16.46,0,0,541
1999-06-26,635,16.59,0,0,542
1999-06-27,630,16.55,0,0,543
1999-06-28,664,17.12,0,0,544
1999-06-29,690,17.85,0,0,545
1999-06-30,706,18.26,0,0,546
1999-07-01,725,18.35,0,0,547
1999-07-02,705,18.38,0,0,548
1999-07-03,672,18.33,0,0,549
1999-07-04,622,18.26,0,0,550
1999-07-05,615,18.16,0,0,551
1999-07-06,620,18.28,0,0,552
1999-07-07,670,18.26,0,0,553
1999-07-08,653,18.28,0,0,554
1999-07-09,669,18.33,0,0,555
1999-07-10,708,18.39,0,0,556
1999-07-11,694,18.39,0,0,557
1999-07-12,671,18.45,0,0,558
1999-07-13,665,18.58,0,0,559
1999-07-14,675,18.68,0,0,560
1999-07-15,665,18.86,0,0,561
1999-07-16,645,18.89,0,0,562
1999-07-17,596,18.93,0,0,563
1999-07-18,550,19.09,0,0,564
1999-07-19,560,19.28,0,0,565
1999-07-20,595,19.56,0,0,566
1999-07-21,620,19.71,0,0,567
1999-07-22,632,19.74,0,0,568
1999-07-23,655,19.69,0,0,569
1999-07-24,675,19.57,0,0,570
1999-07-25,669,19.54,0,0,571
1999-07-26,640,19.66,0,0,572
1999-07-27,611,19.79,0,0,573
1999-07-28,594,19.8,0,0,574
1999-07-29,581,19.77,0,0,575
1999-07-30,606,19.8,0,0,576
1999-07-31,591,19.7,0,0,577
1999-08-01,555,19.58,0,0,578
1999-08-02,558,19.68,0,0,579
1999-08-03,558,19.73,0,0,580
1999-08-04,571,19.65,0,0,581
1999-08-05,565,19.47,0,0,582
1999-08-06,561,19.34,0,0,583
1999-08-07,525,19.09,0,0,584
1999-08-08,475,18.76,0,0,585
1999-08-09,495,18.47,0,0,586
1999-08-10,515,18.25,0,0,587
1999-08-11,537,17.91,0,0,588
1999-08-12,531,17.78,0,0,589
1999-08-13,554,17.73,0,0,590
1999-08-14,546,17.69,0,0,591
1999-08-15,523,17.6,0,0,592
1999-08-16,509,17.56,0,0,593
1999-08-17,516,17.49,0,0,594
1999-08-18,549,17.17,0,0,595
1999-08-19,597,16.83,0,0,596
1999-08-20,582,16.57,0,0,597
1999-08-21,565,16.63,0,0,598
1999-08-22,558,16.83,0,0,599
1999-08-23,528,17.01,0,0,600
1999-08-24,545,17.1,0,0,601
1999-08-25,559,17.19,0,0,602
1999-08-26,571,17.29,0,0,603
1999-08-27,555,17.39,0,0,604
1999-08-28,511,17.69,0,0,605
1999-08-29,487,17.94,0,0,606
1999-08-30,508,17.93,0,0,607
1999-08-31,507,17.98,0,0,608
1999-09-01,501,17.88,0,0,609
1999-09-02,476,17.64,0,0,610
1999-09-03,455,17.54,0,0,611
1999-09-04,427,17.57,0,0,612
1999-09-05,408,17.59,0,0,613
1999-09-06,434,17.58,0,0,614
1999-09-07,461,17.73,0,0,615
1999-09-08,468,17.79,0,0,616
1999-09-09,446,17.83,0,0,617
1999-09-10,436,17.82,0,0,618
1999-09-11,411,17.98,0,0,619
1999-09-12,396,18.05,0,0,620
1999-09-13,383,17.94,0,0,621
1999-09-14,369,17.71,0,0,622
1999-09-15,361,17.55,0,0,623
1999-09-16,367,17.5,0,0,624
1999-09-17,370,17.49,0,0,625
1999-09-18,355,17.44,0,0,626
1999-09-19,343,17.48,0,0,627
1999-09-20,366,17.48,0,0,628
1999-09-21,385,17.35,0,0,629
1999-09-22,379,17.14,0,0,630
1999-09-23,335,17.07,0,0,631
1999-09-24,301,17.02,0,0,632
1999-09-25,283,16.86,0,0,633
1999-09-26,261,16.7,0,0,634
1999-09-27,258,16.64,0,0,635
1999-09-28,281,16.48,0,0,636
1999-09-29,290,16.62,0,0,637
1999-09-30,280,16.66,0,0,638
1999-10-01,279,16.64,0,0,639
1999-10-02,284,16.43,0,0,640
1999-10-03,271,16.29,0,0,641
1999-10-04,279,16.21,0,0,642
1999-10-05,277,16.15,0,0,643
1999-10-06,275,16.06,0,0,644
1999-10-07,279,15.99,0,0,645
1999-10-08,252,16.02,0,0,646
1999-10-09,226,16.03,0,0,647
1999-10-10,216,16.03,0,0,648
1999-10-11,211,16,0,0,649
1999-10-12,197,15.94,0,0,650
1999-10-13,201,15.86,0,0,651
1999-10-14,183,15.59,0,0,652
1999-10-15,173,15.18,0,0,653
1999-10-16,166,14.78,0,0,654
1999-10-17,168,14.53,0,0,655
1999-10-18,181,14.42,0,0,656
1999-10-19,170,14.4,0,0,657
1999-10-20,155,14.43,0,0,658
1999-10-21,176,14.47,0,0,659
1999-10-22,209,14.47,0,0,660
1999-10-23,193,14.46,0,0,661
1999-10-24,194,14.46,0,0,662
1999-10-25,204,14.51,0,0,663
1999-10-26,222,14.64,0,0,664
1999-10-27,205,14.66,0,0,665
1999-10-28,167,14.67,0,0,666
1999-10-29,127,14.83,0,0,667
1999-10-30,97,15.32,0,0,668
1999-10-31,90,15.34,0,0,669
1999-11-01,90,15.33,0,0,670
1999-11-02,79,15.21,0,0,671
1999-11-03,68,15.07,0,0,672
1999-11-04,58,14.98,0,0,673
1999-11-05,53,14.99,0,0,674
1999-11-06,28,14.99,0,0,675
1999-11-07,0,14.94,0,0,676
1999-11-08,0,15.19,0,0,677
1999-11-09,0,15.47,0,0,678
1999-11-10,50,15.75,0,0,679
1999-11-11,65,15.97,0,0,680
1999-11-12,50,16.34,0,0,681
1999-11-13,57,16.58,0,0,682
1999-11-14,60,16.61,0,0,683
1999-11-15,75,16.6,0,0,684
1999-11-16,0,16.5,0,0,685
1999-11-17,109,16.4,0,0,686
1999-11-18,0,16.39,0,0,687
1999-11-19,181,16.8,0,0,688
1999-11-20,129,16.98,0,0,689
1999-11-21,79,17.65,0,0,690
1999-11-22,49,18.23,0,0,691
1999-11-23,40,18.24,0,0,692
1999-11-24,43,18.11,0,0,693
1999-11-25,45,17.76,0,0,694
1999-11-26,45,17.44,0,0,695
1999-11-27,45,17.2,0,0,696
1999-11-28,45,16.97,0,0,697
1999-11-29,41,16.79,0,0,698
1999-11-30,36,17.02,0,0,699
1999-12-01,10,18,0,0,700
1999-12-02,0,19.35,0,0,701
1999-12-03,0,19.49,0,0,702
1999-12-04,25,19.39,0,0,703
1999-12-05,22,19.14,0,0,704
1999-12-06,29,18.94,0,0,705
1999-12-07,63,18.7,0,0,706
1999-12-08,25,18.48,0,0,707
1999-12-09,36,18.27,0,0,708
1999-12-10,23,18.17,0,0,709
1999-12-11,40,18.14,0,0,710
1999-12-12,0,18.15,0,0,711
1999-12-13,9,18.15,0,0,712
1999-12-14,20,18.15,0,0,713
1999-12-15,13,18.1,0,0,714
1999-12-16,53,18.03,0,0,715
1999-12-17,70,17.97,0,0,716
1999-12-18,61,17.86,0,0,717
1999-12-19,29,17.7,0,0,718
1999-12-20,20,17.53,0,0,719
1999-12-21,24,17.37,0,0,720
1999-12-22,30,17.23,0,0,721
