agency_cd,site_no,Date,waterYear,Flow,Flow_cd
USGS,11425500,1929-12-07,1930,5670,A
USGS,11425500,1929-12-08,1930,5800,A
USGS,11425500,1929-12-09,1930,5800,A
USGS,11425500,1929-12-10,1930,8600,A
USGS,11425500,1929-12-11,1930,20500,A
USGS,11425500,1929-12-12,1930,26600,A
USGS,11425500,1929-12-13,1930,37200,A
USGS,11425500,1929-12-14,1930,48800,A
USGS,11425500,1929-12-15,1930,53700,A
USGS,11425500,1929-12-16,1930,56000,A
USGS,11425500,1929-12-17,1930,57200,A
USGS,11425500,1929-12-18,1930,56700,A
USGS,11425500,1929-12-19,1930,55200,A
USGS,11425500,1929-12-20,1930,53400,A
USGS,11425500,1929-12-21,1930,51000,A
USGS,11425500,1929-12-22,1930,47500,A
USGS,11425500,1929-12-23,1930,42200,A
USGS,11425500,1929-12-24,1930,35800,A
USGS,11425500,1929-12-25,1930,28700,A
USGS,11425500,1929-12-26,1930,24100,A
USGS,11425500,1929-12-27,1930,20000,A
USGS,11425500,1929-12-28,1930,17600,A
USGS,11425500,1929-12-29,1930,16100,A
USGS,11425500,1929-12-30,1930,15700,A
USGS,11425500,1929-12-31,1930,15400,A
USGS,11425500,1930-01-01,1930,15100,A
USGS,11425500,1930-01-02,1930,14500,A
USGS,11425500,1930-01-03,1930,13800,A
USGS,11425500,1930-01-04,1930,13600,A
USGS,11425500,1930-01-05,1930,15700,A
USGS,11425500,1930-01-06,1930,20500,A
USGS,11425500,1930-01-07,1930,23600,A
USGS,11425500,1930-01-08,1930,25500,A
USGS,11425500,1930-01-09,1930,24800,A
USGS,11425500,1930-01-10,1930,23400,A
USGS,11425500,1930-01-11,1930,21800,A
USGS,11425500,1930-01-12,1930,20500,A
USGS,11425500,1930-01-13,1930,20300,A
USGS,11425500,1930-01-14,1930,20700,A
USGS,11425500,1930-01-15,1930,21800,A
USGS,11425500,1930-01-16,1930,24100,A
USGS,11425500,1930-01-17,1930,31700,A
USGS,11425500,1930-01-18,1930,37900,A
USGS,11425500,1930-01-19,1930,43100,A
USGS,11425500,1930-01-20,1930,44500,A
USGS,11425500,1930-01-21,1930,44300,A
USGS,11425500,1930-01-22,1930,42800,A
USGS,11425500,1930-01-23,1930,40000,A
USGS,11425500,1930-01-24,1930,36100,A
USGS,11425500,1930-01-25,1930,31900,A
USGS,11425500,1930-01-26,1930,28700,A
USGS,11425500,1930-01-27,1930,26200,A
USGS,11425500,1930-01-28,1930,24600,A
USGS,11425500,1930-01-29,1930,23000,A
USGS,11425500,1930-01-30,1930,22200,A
USGS,11425500,1930-01-31,1930,21400,A
USGS,11425500,1930-02-01,1930,21000,A
USGS,11425500,1930-02-02,1930,21000,A
USGS,11425500,1930-02-03,1930,21000,A
USGS,11425500,1930-02-04,1930,21800,A
USGS,11425500,1930-02-05,1930,22000,A
USGS,11425500,1930-02-06,1930,22000,A
USGS,11425500,1930-02-07,1930,22300,A
USGS,11425500,1930-02-08,1930,23200,A
USGS,11425500,1930-02-09,1930,24100,A
USGS,11425500,1930-02-10,1930,24300,A
USGS,11425500,1930-02-11,1930,24100,A
USGS,11425500,1930-02-12,1930,24000,A
USGS,11425500,1930-02-13,1930,24000,A
USGS,11425500,1930-02-14,1930,23500,A
USGS,11425500,1930-02-15,1930,23000,A
USGS,11425500,1930-02-16,1930,22500,A
USGS,11425500,1930-02-17,1930,22000,A
USGS,11425500,1930-02-18,1930,22000,A
USGS,11425500,1930-02-19,1930,21600,A
USGS,11425500,1930-02-20,1930,21600,A
USGS,11425500,1930-02-21,1930,23200,A
USGS,11425500,1930-02-22,1930,26900,A
USGS,11425500,1930-02-23,1930,32200,A
USGS,11425500,1930-02-24,1930,38800,A
USGS,11425500,1930-02-25,1930,42800,A
USGS,11425500,1930-02-26,1930,46200,A
USGS,11425500,1930-02-27,1930,48100,A
USGS,11425500,1930-02-28,1930,47900,A
USGS,11425500,1930-03-01,1930,46400,A
USGS,11425500,1930-03-02,1930,43800,A
USGS,11425500,1930-03-03,1930,40200,A
USGS,11425500,1930-03-04,1930,38600,A
USGS,11425500,1930-03-05,1930,45700,A
USGS,11425500,1930-03-06,1930,54700,A
USGS,11425500,1930-03-07,1930,56000,A
USGS,11425500,1930-03-08,1930,55700,A
USGS,11425500,1930-03-09,1930,55200,A
USGS,11425500,1930-03-10,1930,54000,A
USGS,11425500,1930-03-11,1930,52400,A
USGS,11425500,1930-03-12,1930,51000,A
USGS,11425500,1930-03-13,1930,49100,A
USGS,11425500,1930-03-14,1930,46900,A
USGS,11425500,1930-03-15,1930,44800,A
USGS,11425500,1930-03-16,1930,43600,A
USGS,11425500,1930-03-17,1930,42400,A
USGS,11425500,1930-03-18,1930,40900,A
USGS,11425500,1930-03-19,1930,38600,A
USGS,11425500,1930-03-20,1930,36100,A
USGS,11425500,1930-03-21,1930,33800,A
USGS,11425500,1930-03-22,1930,31700,A
USGS,11425500,1930-03-23,1930,30100,A
USGS,11425500,1930-03-24,1930,29200,A
USGS,11425500,1930-03-25,1930,28700,A
USGS,11425500,1930-03-26,1930,29200,A
USGS,11425500,1930-03-27,1930,29600,A
USGS,11425500,1930-03-28,1930,30500,A
USGS,11425500,1930-03-29,1930,31000,A
USGS,11425500,1930-03-30,1930,31500,A
USGS,11425500,1930-03-31,1930,31700,A
USGS,11425500,1930-04-01,1930,31200,A
USGS,11425500,1930-04-02,1930,30300,A
USGS,11425500,1930-04-03,1930,28900,A
USGS,11425500,1930-04-04,1930,27800,A
USGS,11425500,1930-04-05,1930,26600,A
USGS,11425500,1930-04-06,1930,26400,A
USGS,11425500,1930-04-07,1930,26200,A
USGS,11425500,1930-04-08,1930,26000,A
USGS,11425500,1930-04-09,1930,25900,A
USGS,11425500,1930-04-10,1930,26200,A
USGS,11425500,1930-04-11,1930,25200,A
USGS,11425500,1930-04-12,1930,23900,A
USGS,11425500,1930-04-13,1930,22700,A
USGS,11425500,1930-04-14,1930,24100,A
USGS,11425500,1930-04-15,1930,27300,A
USGS,11425500,1930-04-16,1930,28900,A
USGS,11425500,1930-04-17,1930,30300,A
USGS,11425500,1930-04-18,1930,29800,A
USGS,11425500,1930-04-19,1930,28500,A
USGS,11425500,1930-04-20,1930,27600,A
USGS,11425500,1930-04-21,1930,27300,A
USGS,11425500,1930-04-22,1930,26900,A
USGS,11425500,1930-04-23,1930,26900,A
USGS,11425500,1930-04-24,1930,27100,A
USGS,11425500,1930-04-25,1930,26900,A
USGS,11425500,1930-04-26,1930,25900,A
USGS,11425500,1930-04-27,1930,24800,A
USGS,11425500,1930-04-28,1930,23600,A
USGS,11425500,1930-04-29,1930,22300,A
USGS,11425500,1930-04-30,1930,21600,A
USGS,11425500,1930-05-01,1930,20900,A
USGS,11425500,1930-05-02,1930,20000,A
USGS,11425500,1930-05-03,1930,19800,A
USGS,11425500,1930-05-04,1930,20500,A
USGS,11425500,1930-05-05,1930,21600,A
USGS,11425500,1930-05-06,1930,21400,A
USGS,11425500,1930-05-07,1930,20300,A
USGS,11425500,1930-05-08,1930,19600,A
USGS,11425500,1930-05-09,1930,18900,A
USGS,11425500,1930-05-10,1930,18100,A
USGS,11425500,1930-05-11,1930,17400,A
USGS,11425500,1930-05-12,1930,16800,A
USGS,11425500,1930-05-13,1930,16100,A
USGS,11425500,1930-05-14,1930,16100,A
USGS,11425500,1930-05-15,1930,15900,A
USGS,11425500,1930-05-16,1930,15500,A
USGS,11425500,1930-05-17,1930,15300,A
USGS,11425500,1930-05-18,1930,15900,A
USGS,11425500,1930-05-19,1930,16400,A
USGS,11425500,1930-05-20,1930,16400,A
USGS,11425500,1930-05-21,1930,16400,A
USGS,11425500,1930-05-22,1930,15900,A
USGS,11425500,1930-05-23,1930,14900,A
USGS,11425500,1930-05-24,1930,14200,A
USGS,11425500,1930-05-25,1930,13800,A
USGS,11425500,1930-05-26,1930,13400,A
USGS,11425500,1930-05-27,1930,13000,A
USGS,11425500,1930-05-28,1930,12600,A
USGS,11425500,1930-05-29,1930,12400,A
USGS,11425500,1930-05-30,1930,12400,A
USGS,11425500,1930-05-31,1930,12600,A
USGS,11425500,1930-06-01,1930,12200,A
USGS,11425500,1930-06-02,1930,12000,A
USGS,11425500,1930-06-03,1930,11400,A
USGS,11425500,1930-06-04,1930,10800,A
USGS,11425500,1930-06-05,1930,10200,A
USGS,11425500,1930-06-06,1930,10000,A
USGS,11425500,1930-06-07,1930,9800,A
USGS,11425500,1930-06-08,1930,9600,A
USGS,11425500,1930-06-09,1930,9200,A
USGS,11425500,1930-06-10,1930,8800,A
USGS,11425500,1930-06-11,1930,8400,A
USGS,11425500,1930-06-12,1930,8000,A
USGS,11425500,1930-06-13,1930,7400,A
USGS,11425500,1930-06-14,1930,6800,A
USGS,11425500,1930-06-15,1930,6600,A
USGS,11425500,1930-06-16,1930,6200,A
USGS,11425500,1930-06-17,1930,5800,A
USGS,11425500,1930-06-18,1930,5400,A
USGS,11425500,1930-06-19,1930,5020,A
USGS,11425500,1930-06-20,1930,4890,A
USGS,11425500,1930-06-21,1930,4760,A
USGS,11425500,1930-06-22,1930,4760,A
USGS,11425500,1930-06-23,1930,4760,A
USGS,11425500,1930-06-24,1930,4760,A
USGS,11425500,1930-06-25,1930,4760,A
USGS,11425500,1930-06-26,1930,4500,A
USGS,11425500,1930-06-27,1930,4370,A
USGS,11425500,1930-06-28,1930,4220,A
USGS,11425500,1930-06-29,1930,4070,A
USGS,11425500,1930-06-30,1930,3920,A
USGS,11425500,1930-07-01,1930,3780,A
USGS,11425500,1930-07-02,1930,3640,A
USGS,11425500,1930-07-03,1930,3560,A
USGS,11425500,1930-07-04,1930,3480,A
USGS,11425500,1930-07-05,1930,3400,A
USGS,11425500,1930-07-06,1930,3320,A
USGS,11425500,1930-07-07,1930,3240,A
USGS,11425500,1930-07-08,1930,3160,A
USGS,11425500,1930-07-09,1930,3080,A
USGS,11425500,1930-07-10,1930,3060,A
USGS,11425500,1930-07-11,1930,3040,A
USGS,11425500,1930-07-12,1930,3020,A
USGS,11425500,1930-07-13,1930,3000,A
USGS,11425500,1930-07-14,1930,2990,A
USGS,11425500,1930-07-15,1930,2980,A
USGS,11425500,1930-07-16,1930,2970,A
USGS,11425500,1930-07-17,1930,2800,A
USGS,11425500,1930-07-18,1930,2640,A
USGS,11425500,1930-07-19,1930,2640,A
USGS,11425500,1930-07-20,1930,2640,A
USGS,11425500,1930-07-21,1930,2640,A
USGS,11425500,1930-07-22,1930,2530,A
USGS,11425500,1930-07-23,1930,2530,A
USGS,11425500,1930-07-24,1930,2640,A
USGS,11425500,1930-07-25,1930,2750,A
USGS,11425500,1930-07-26,1930,2640,A
USGS,11425500,1930-07-27,1930,2750,A
USGS,11425500,1930-07-28,1930,2750,A
USGS,11425500,1930-07-29,1930,2530,A
USGS,11425500,1930-07-30,1930,2640,A
USGS,11425500,1930-07-31,1930,2640,A
USGS,11425500,1930-08-01,1930,2750,A
USGS,11425500,1930-08-02,1930,2640,A
USGS,11425500,1930-08-03,1930,2750,A
USGS,11425500,1930-08-04,1930,2750,A
USGS,11425500,1930-08-05,1930,2530,A
USGS,11425500,1930-08-06,1930,2530,A
USGS,11425500,1930-08-07,1930,2750,A
USGS,11425500,1930-08-08,1930,2640,A
USGS,11425500,1930-08-09,1930,2640,A
USGS,11425500,1930-08-10,1930,2750,A
USGS,11425500,1930-08-11,1930,2750,A
USGS,11425500,1930-08-12,1930,2640,A
USGS,11425500,1930-08-13,1930,2640,A
USGS,11425500,1930-08-14,1930,2640,A
USGS,11425500,1930-08-15,1930,2640,A
USGS,11425500,1930-08-16,1930,2750,A
USGS,11425500,1930-08-17,1930,2640,A
USGS,11425500,1930-08-18,1930,2750,A
USGS,11425500,1930-08-19,1930,2640,A
USGS,11425500,1930-08-20,1930,2540,A
USGS,11425500,1930-08-21,1930,2540,A
USGS,11425500,1930-08-22,1930,2650,A
USGS,11425500,1930-08-23,1930,2760,A
USGS,11425500,1930-08-24,1930,3000,A
USGS,11425500,1930-08-25,1930,3120,A
USGS,11425500,1930-08-26,1930,3120,A
USGS,11425500,1930-08-27,1930,3240,A
USGS,11425500,1930-08-28,1930,3240,A
USGS,11425500,1930-08-29,1930,3360,A
USGS,11425500,1930-08-30,1930,3360,A
USGS,11425500,1930-08-31,1930,3480,A
USGS,11425500,1930-09-01,1930,3600,A
USGS,11425500,1930-09-02,1930,3360,A
USGS,11425500,1930-09-03,1930,3240,A
USGS,11425500,1930-09-04,1930,3600,A
USGS,11425500,1930-09-05,1930,3730,A
USGS,11425500,1930-09-06,1930,3730,A
USGS,11425500,1930-09-07,1930,3730,A
USGS,11425500,1930-09-08,1930,3990,A
USGS,11425500,1930-09-09,1930,3990,A
USGS,11425500,1930-09-10,1930,4250,A
USGS,11425500,1930-09-11,1930,4520,A
USGS,11425500,1930-09-12,1930,5220,A
USGS,11425500,1930-09-13,1930,5640,A
USGS,11425500,1930-09-14,1930,5780,A
USGS,11425500,1930-09-15,1930,5780,A
USGS,11425500,1930-09-16,1930,5780,A
USGS,11425500,1930-09-17,1930,5780,A
USGS,11425500,1930-09-18,1930,5780,A
USGS,11425500,1930-09-19,1930,5920,A
USGS,11425500,1930-09-20,1930,5920,A
USGS,11425500,1930-09-21,1930,5920,A
USGS,11425500,1930-09-22,1930,5780,A
USGS,11425500,1930-09-23,1930,5360,A
USGS,11425500,1930-09-24,1930,5780,A
USGS,11425500,1930-09-25,1930,6070,A
USGS,11425500,1930-09-26,1930,6220,A
USGS,11425500,1930-09-27,1930,6220,A
USGS,11425500,1930-09-28,1930,6370,A
USGS,11425500,1930-09-29,1930,6370,A
USGS,11425500,1930-09-30,1930,6070,A
USGS,11425500,1930-10-01,1931,6480,A
USGS,11425500,1930-10-02,1931,6960,A
USGS,11425500,1930-10-03,1931,7120,A
USGS,11425500,1930-10-04,1931,7120,A
USGS,11425500,1930-10-05,1931,6960,A
USGS,11425500,1930-10-06,1931,6640,A
USGS,11425500,1930-10-07,1931,6160,A
USGS,11425500,1930-10-08,1931,6320,A
USGS,11425500,1930-10-09,1931,6320,A
USGS,11425500,1930-10-10,1931,6320,A
USGS,11425500,1930-10-11,1931,6160,A
USGS,11425500,1930-10-12,1931,6320,A
USGS,11425500,1930-10-13,1931,6160,A
USGS,11425500,1930-10-14,1931,5840,A
USGS,11425500,1930-10-15,1931,6320,A
USGS,11425500,1930-10-16,1931,6480,A
USGS,11425500,1930-10-17,1931,6320,A
USGS,11425500,1930-10-18,1931,6320,A
USGS,11425500,1930-10-19,1931,6320,A
USGS,11425500,1930-10-20,1931,6320,A
USGS,11425500,1930-10-21,1931,6160,A
USGS,11425500,1930-10-22,1931,6160,A
USGS,11425500,1930-10-23,1931,6320,A
USGS,11425500,1930-10-24,1931,6320,A
USGS,11425500,1930-10-25,1931,6480,A
USGS,11425500,1930-10-26,1931,6640,A
USGS,11425500,1930-10-27,1931,6480,A
USGS,11425500,1930-10-28,1931,6320,A
USGS,11425500,1930-10-29,1931,6480,A
USGS,11425500,1930-10-30,1931,6480,A
USGS,11425500,1930-10-31,1931,6480,A
USGS,11425500,1930-11-01,1931,6480,A
USGS,11425500,1930-11-02,1931,6480,A
USGS,11425500,1930-11-03,1931,6480,A
USGS,11425500,1930-11-04,1931,6320,A
USGS,11425500,1930-11-05,1931,6480,A
USGS,11425500,1930-11-06,1931,6640,A
USGS,11425500,1930-11-07,1931,6640,A
USGS,11425500,1930-11-08,1931,6640,A
USGS,11425500,1930-11-09,1931,6640,A
USGS,11425500,1930-11-10,1931,6800,A
USGS,11425500,1930-11-11,1931,6800,A
USGS,11425500,1930-11-12,1931,6640,A
USGS,11425500,1930-11-13,1931,6640,A
USGS,11425500,1930-11-14,1931,6640,A
USGS,11425500,1930-11-15,1931,6960,A
USGS,11425500,1930-11-16,1931,7120,A
USGS,11425500,1930-11-17,1931,8580,A
USGS,11425500,1930-11-18,1931,10900,A
USGS,11425500,1930-11-19,1931,10000,A
USGS,11425500,1930-11-20,1931,9320,A
USGS,11425500,1930-11-21,1931,8790,A
USGS,11425500,1930-11-22,1931,8280,A
USGS,11425500,1930-11-23,1931,8110,A
USGS,11425500,1930-11-24,1931,8110,A
USGS,11425500,1930-11-25,1931,7440,A
USGS,11425500,1930-11-26,1931,7770,A
USGS,11425500,1930-11-27,1931,7770,A
USGS,11425500,1930-11-28,1931,7440,A
USGS,11425500,1930-11-29,1931,6800,A
USGS,11425500,1930-11-30,1931,7280,A
USGS,11425500,1930-12-01,1931,7280,A
USGS,11425500,1930-12-02,1931,6960,A
USGS,11425500,1930-12-03,1931,7440,A
USGS,11425500,1930-12-04,1931,7440,A
USGS,11425500,1930-12-05,1931,7600,A
USGS,11425500,1930-12-06,1931,7600,A
USGS,11425500,1930-12-07,1931,7600,A
USGS,11425500,1930-12-08,1931,7280,A
USGS,11425500,1930-12-09,1931,6960,A
USGS,11425500,1930-12-10,1931,7280,A
USGS,11425500,1930-12-11,1931,7440,A
USGS,11425500,1930-12-12,1931,7600,A
USGS,11425500,1930-12-13,1931,7600,A
USGS,11425500,1930-12-14,1931,7770,A
USGS,11425500,1930-12-15,1931,7770,A
USGS,11425500,1930-12-16,1931,7600,A
USGS,11425500,1930-12-17,1931,7600,A
USGS,11425500,1930-12-18,1931,7600,A
USGS,11425500,1930-12-19,1931,7600,A
USGS,11425500,1930-12-20,1931,7600,A
USGS,11425500,1930-12-21,1931,7770,A
USGS,11425500,1930-12-22,1931,7600,A
USGS,11425500,1930-12-23,1931,7280,A
USGS,11425500,1930-12-24,1931,7600,A
USGS,11425500,1930-12-25,1931,7770,A
USGS,11425500,1930-12-26,1931,7600,A
USGS,11425500,1930-12-27,1931,7280,A
USGS,11425500,1930-12-28,1931,7600,A
USGS,11425500,1930-12-29,1931,7600,A
USGS,11425500,1930-12-30,1931,7280,A
USGS,11425500,1930-12-31,1931,7440,A
USGS,11425500,1931-01-01,1931,7770,A
USGS,11425500,1931-01-02,1931,8280,A
USGS,11425500,1931-01-03,1931,9860,A
USGS,11425500,1931-01-04,1931,12400,A
USGS,11425500,1931-01-05,1931,12600,A
USGS,11425500,1931-01-06,1931,11700,A
USGS,11425500,1931-01-07,1931,12200,A
USGS,11425500,1931-01-08,1931,13300,A
USGS,11425500,1931-01-09,1931,13300,A
USGS,11425500,1931-01-10,1931,13300,A
USGS,11425500,1931-01-11,1931,12000,A
USGS,11425500,1931-01-12,1931,10900,A
USGS,11425500,1931-01-13,1931,10200,A
USGS,11425500,1931-01-14,1931,9860,A
USGS,11425500,1931-01-15,1931,9500,A
USGS,11425500,1931-01-16,1931,9500,A
USGS,11425500,1931-01-17,1931,9680,A
USGS,11425500,1931-01-18,1931,9860,A
USGS,11425500,1931-01-19,1931,9860,A
USGS,11425500,1931-01-20,1931,9680,A
USGS,11425500,1931-01-21,1931,9500,A
USGS,11425500,1931-01-22,1931,9500,A
USGS,11425500,1931-01-23,1931,9680,A
USGS,11425500,1931-01-24,1931,15900,A
USGS,11425500,1931-01-25,1931,25500,A
USGS,11425500,1931-01-26,1931,25700,A
USGS,11425500,1931-01-27,1931,22200,A
USGS,11425500,1931-01-28,1931,18400,A
USGS,11425500,1931-01-29,1931,15700,A
USGS,11425500,1931-01-30,1931,14100,A
USGS,11425500,1931-01-31,1931,13200,A
USGS,11425500,1931-02-01,1931,12600,A
USGS,11425500,1931-02-02,1931,11800,A
USGS,11425500,1931-02-03,1931,11500,A
USGS,11425500,1931-02-04,1931,11500,A
USGS,11425500,1931-02-05,1931,11100,A
USGS,11425500,1931-02-06,1931,10800,A
USGS,11425500,1931-02-07,1931,10400,A
USGS,11425500,1931-02-08,1931,10200,A
USGS,11425500,1931-02-09,1931,10000,A
USGS,11425500,1931-02-10,1931,9860,A
USGS,11425500,1931-02-11,1931,9680,A
USGS,11425500,1931-02-12,1931,9680,A
USGS,11425500,1931-02-13,1931,9680,A
USGS,11425500,1931-02-14,1931,9860,A
USGS,11425500,1931-02-15,1931,10900,A
USGS,11425500,1931-02-16,1931,12600,A
USGS,11425500,1931-02-17,1931,12600,A
USGS,11425500,1931-02-18,1931,12400,A
USGS,11425500,1931-02-19,1931,12400,A
USGS,11425500,1931-02-20,1931,16700,A
USGS,11425500,1931-02-21,1931,20800,A
USGS,11425500,1931-02-22,1931,20200,A
USGS,11425500,1931-02-23,1931,17800,A
USGS,11425500,1931-02-24,1931,15500,A
USGS,11425500,1931-02-25,1931,14300,A
USGS,11425500,1931-02-26,1931,13300,A
USGS,11425500,1931-02-27,1931,12800,A
USGS,11425500,1931-02-28,1931,12200,A
USGS,11425500,1931-03-01,1931,11800,A
USGS,11425500,1931-03-02,1931,11500,A
USGS,11425500,1931-03-03,1931,10900,A
USGS,11425500,1931-03-04,1931,10600,A
USGS,11425500,1931-03-05,1931,10200,A
USGS,11425500,1931-03-06,1931,9860,A
USGS,11425500,1931-03-07,1931,9680,A
USGS,11425500,1931-03-08,1931,9500,A
USGS,11425500,1931-03-09,1931,9140,A
USGS,11425500,1931-03-10,1931,8790,A
USGS,11425500,1931-03-11,1931,9140,A
USGS,11425500,1931-03-12,1931,10400,A
USGS,11425500,1931-03-13,1931,14300,A
USGS,11425500,1931-03-14,1931,17600,A
USGS,11425500,1931-03-15,1931,18600,A
USGS,11425500,1931-03-16,1931,17200,A
USGS,11425500,1931-03-17,1931,15500,A
USGS,11425500,1931-03-18,1931,14500,A
USGS,11425500,1931-03-19,1931,17000,A
USGS,11425500,1931-03-20,1931,21300,A
USGS,11425500,1931-03-21,1931,22400,A
USGS,11425500,1931-03-22,1931,21100,A
USGS,11425500,1931-03-23,1931,19300,A
USGS,11425500,1931-03-24,1931,18000,A
USGS,11425500,1931-03-25,1931,16500,A
USGS,11425500,1931-03-26,1931,14900,A
USGS,11425500,1931-03-27,1931,13700,A
USGS,11425500,1931-03-28,1931,12800,A
USGS,11425500,1931-03-29,1931,12000,A
USGS,11425500,1931-03-30,1931,11100,A
USGS,11425500,1931-03-31,1931,10200,A
USGS,11425500,1931-04-01,1931,9680,A
USGS,11425500,1931-04-02,1931,9320,A
USGS,11425500,1931-04-03,1931,9320,A
USGS,11425500,1931-04-04,1931,9140,A
USGS,11425500,1931-04-05,1931,8620,A
USGS,11425500,1931-04-06,1931,8110,A
USGS,11425500,1931-04-07,1931,7600,A
USGS,11425500,1931-04-08,1931,7280,A
USGS,11425500,1931-04-09,1931,7120,A
USGS,11425500,1931-04-10,1931,6800,A
USGS,11425500,1931-04-11,1931,6480,A
USGS,11425500,1931-04-12,1931,6000,A
USGS,11425500,1931-04-13,1931,6000,A
USGS,11425500,1931-04-14,1931,5680,A
USGS,11425500,1931-04-15,1931,5530,A
USGS,11425500,1931-04-16,1931,5230,A
USGS,11425500,1931-04-17,1931,4790,A
USGS,11425500,1931-04-18,1931,4510,A
USGS,11425500,1931-04-19,1931,4370,A
USGS,11425500,1931-04-20,1931,4230,A
USGS,11425500,1931-04-21,1931,4090,A
USGS,11425500,1931-04-22,1931,3950,A
USGS,11425500,1931-04-23,1931,3950,A
USGS,11425500,1931-04-24,1931,4230,A
USGS,11425500,1931-04-25,1931,4510,A
USGS,11425500,1931-04-26,1931,4230,A
USGS,11425500,1931-04-27,1931,4230,A
USGS,11425500,1931-04-28,1931,4230,A
USGS,11425500,1931-04-29,1931,4370,A
USGS,11425500,1931-04-30,1931,4370,A
USGS,11425500,1931-05-01,1931,4370,A
USGS,11425500,1931-05-02,1931,4230,A
USGS,11425500,1931-05-03,1931,4370,A
USGS,11425500,1931-05-04,1931,4510,A
USGS,11425500,1931-05-05,1931,4510,A
USGS,11425500,1931-05-06,1931,4090,A
USGS,11425500,1931-05-07,1931,3680,A
USGS,11425500,1931-05-08,1931,3950,A
USGS,11425500,1931-05-09,1931,3950,A
USGS,11425500,1931-05-10,1931,3550,A
USGS,11425500,1931-05-11,1931,3100,A
USGS,11425500,1931-05-12,1931,2610,A
USGS,11425500,1931-05-13,1931,2440,A
USGS,11425500,1931-05-14,1931,2440,A
USGS,11425500,1931-05-15,1931,2380,A
USGS,11425500,1931-05-16,1931,2440,A
USGS,11425500,1931-05-17,1931,2500,A
USGS,11425500,1931-05-18,1931,2910,A
USGS,11425500,1931-05-19,1931,3420,A
USGS,11425500,1931-05-20,1931,3290,A
USGS,11425500,1931-05-21,1931,2610,A
USGS,11425500,1931-05-22,1931,2070,A
USGS,11425500,1931-05-23,1931,1740,A
USGS,11425500,1931-05-24,1931,1600,A
USGS,11425500,1931-05-25,1931,1700,A
USGS,11425500,1931-05-26,1931,1830,A
USGS,11425500,1931-05-27,1931,2730,A
USGS,11425500,1931-05-28,1931,3680,A
USGS,11425500,1931-05-29,1931,3680,A
