agency_cd,site_no,sample_dt,sample_tm,sample_start_time_datum_cd_reported,remark_cd_NO3_NO2_mg_L,result_va_NO3_NO2_mg_L,rpt_lev_va_NO3_NO2_mg_L,rpt_lev_cd_NO3_NO2_mg_L,remark_cd_NH4_mg_L,result_va_NH4_mg_L,rpt_lev_va_NH4_mg_L,rpt_lev_cd_NH4_mg_L,remark_cd_OrthoP_mg_L,result_va_OrthoP_mg_L,rpt_lev_va_OrthoP_L,rpt_lev_cd_OrthoP_mg_L,remark_cd_NO2_mg_L,result_va_NO2_mg_L,rpt_lev_va_NO2_mg_L,rpt_lev_cd_NO2_mg_L,remark_cd_TDN_mg_L,result_va_TDN_mg_L,rpt_lev_va_TDN_mg_L,rpt_lev_cd_TDN_mg_L,remark_cd_Chla_ugL,result_va_Chla_ugL,rpt_lev_va_Chla_ugL,rpt_lev_cd_Chla_ugL,remark_cd_Phaeo_ugL,result_va_Phaeo_ugL,rpt_lev_va_Phaeo_ugL,rpt_lev_cd_Phaeo_ugL,remark_cd_DOC_mgL,result_va_DOC_mgL,rpt_lev_va_DOC_mgL,rpt_lev_cd_DOC_mgL,remark_cd_A254_nm,result_va_A254_nm,rpt_lev_va_A254_nm,rpt_lev_cd_A254_nm,remark_cd_SUVA,result_va_SUVA,rpt_lev_va_SUVA,rpt_lev_cd_SUVA
USGS,11455335,2016-05-20,10:20:00,PST,NA,0.124,0.04,DLDQC,NA,0.08,0.01,DLDQC,NA,0.069,0.004,DLDQC,NA,0.011,0.001,DLDQC,NA,0.38,0.05,DLDQC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455335,2016-06-09,15:20:00,PST,NA,0.293,0.04,DLDQC,NA,0.05,0.01,DLDQC,NA,0.086,0.004,DLDQC,NA,0.011,0.001,DLDQC,NA,0.51,0.05,DLDQC,NA,2.6,0.1,MRL,NA,1.9,0.1,MRL,NA,2.2,0.3,LRL,NA,0.09,0.00967,MDL,NA,4.1,NA,NA
USGS,11455335,2016-06-28,09:35:00,PST,NA,0.132,0.04,DLDQC,NA,0.06,0.01,DLDQC,NA,0.053,0.004,DLDQC,NA,0.011,0.001,DLDQC,NA,0.38,0.05,DLDQC,NA,10.8,0.1,MRL,NA,3.7,0.1,MRL,NA,2.1,0.3,LRL,NA,0.074,0.00967,MDL,NA,3.5,NA,NA
USGS,11455335,2017-10-11,17:20:00,PST,NA,0.149,0.04,DLDQC,NA,0.16,0.01,DLDQC,NA,0.055,0.004,DLDQC,NA,0.013,0.001,DLDQC,NA,0.41,0.05,DLDQC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,0.3,LRL,NA,0.049,0.009674,MDL,NA,2.8,NA,NA
USGS,11455335,2017-10-31,11:30:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,0.1,MRL,NA,1.7,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455335,2017-11-14,11:30:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,0.1,MRL,NA,1.5,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455335,2017-11-28,12:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0.1,MRL,NA,1.4,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455335,2017-12-12,13:30:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,0.1,MRL,NA,0.8,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455335,2018-01-04,10:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,0.1,MRL,NA,1.3,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455335,2018-01-17,11:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0.1,MRL,NA,1.8,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455335,2018-01-30,12:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,0.1,MRL,NA,1.8,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455335,2018-02-13,11:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,0.1,MRL,NA,1.3,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455335,2018-03-06,12:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,0.1,MRL,NA,2.1,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455335,2018-03-29,09:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,0.1,MRL,NA,1.9,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455335,2018-04-17,13:30:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,0.1,MRL,NA,1.2,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455335,2018-05-02,12:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,1.8,0.1,MRL,NA,1.8,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455335,2018-05-18,12:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,1.5,0.1,MRL,NA,1.2,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455335,2018-05-30,15:15:00,PST,NA,0.218,0.04,DLDQC,NA,0.22,0.01,DLDQC,NA,0.075,0.004,DLDQC,NA,0.025,0.001,DLDQC,NA,0.58,0.05,DLDQC,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.3,LRL,NA,0.053,0.00245,MDL,NA,2.7,NA,NA
USGS,11455335,2018-06-06,11:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,1,0.1,MRL,NA,0.8,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455335,2018-06-19,13:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,1.4,0.1,MRL,NA,1.1,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455335,2018-07-11,09:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,1.8,0.1,MRL,NA,1,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455335,2018-07-24,09:30:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,1.9,0.1,MRL,NA,1.3,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455335,2018-08-08,09:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,1.5,0.1,MRL,NA,0.9,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455335,2018-08-17,14:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,1.4,0.1,MRL,NA,0.8,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455335,2018-09-05,10:30:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,0.1,MRL,NA,1.6,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455335,2018-09-19,09:27:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,1.5,0.1,MRL,NA,0.9,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455335,2018-10-02,08:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,0.1,MRL,NA,1.7,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455335,2018-10-16,10:50:00,PST,NA,0.235,0.04,DLDQC,NA,NA,NA,NA,NA,0.089,0.004,DLDQC,NA,0.022,0.001,DLDQC,NA,0.46,0.05,DLDQC,E,0.8,0.1,MRL,NA,1,0.1,MRL,NA,2,0.3,LRL,NA,0.048,0.009674,MDL,NA,2.4,NA,NA
USGS,11455335,2018-10-17,13:30:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,0.7,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455280,2017-03-08,12:00:00,PST,NA,0.428,0.04,DLDQC,NA,0.01,0.01,DLDQC,NA,0.109,0.004,DLDQC,NA,0.006,0.001,DLDQC,NA,0.75,0.05,DLDQC,NA,41.8,0.1,MRL,NA,10.3,0.1,MRL,NA,4.1,0.6,LRL,NA,0.136,0.009674,MDL,NA,3.4,NA,NA
USGS,11455280,2017-06-27,11:45:00,PST,NA,0.075,0.04,DLDQC,NA,0.02,0.01,DLDQC,NA,0.098,0.004,DLDQC,NA,0.007,0.001,DLDQC,NA,0.26,0.05,DLDQC,NA,3.4,0.1,MRL,NA,1.6,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455280,2017-10-11,15:45:00,PST,NA,0.105,0.04,DLDQC,NA,0.07,0.01,DLDQC,NA,0.06,0.004,DLDQC,NA,0.011,0.001,DLDQC,NA,0.29,0.05,DLDQC,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,0.3,LRL,NA,0.06,0.009674,MDL,NA,2.9,NA,NA
USGS,11455280,2018-08-23,14:18:00,PST,NA,0.052,0.04,DLDQC,NA,0.01,0.01,DLDQC,NA,0.106,0.004,DLDQC,NA,0.003,0.001,DLDQC,NA,0.23,0.05,DLDQC,NA,3.9,0.1,MRL,NA,2.2,0.1,MRL,NA,2.7,0.3,LRL,NA,0.071,0.0097,MDL,E,2.7,NA,NA
