"","date","mean_flow_lib","mean_flow_cch","model_flow_lib","lib_flow_for_GAM","method","group","length","category","sd_flow_lib","cv_flow_lib","sd_gh_lib","sd_flow_cch","sd_gh_cch","cv_flow_cch"
"2824",2016-06-24,-1331.79166666667,3390.41666666667,-1125.91666666667,-1331.79166666667,"lib_flow",NA,NA,NA,9975.67536077176,-749.041731559998,1.23066577331704,61659.7687981849,1.20592215570245,1818.64870487457
"2825",2016-06-25,-1284.04166666667,1223.64583333333,-1559.27083333333,-1284.04166666667,"lib_flow",NA,NA,NA,9499.22280246533,-739.790853292559,1.12817567376592,61357.8789539361,1.09545272224166,5014.34951866678
"2826",2016-06-26,-1322.86458333333,-128.708333333333,-1829.74166666667,-1322.86458333333,"lib_flow",NA,NA,NA,9556.01278734994,-722.372713560057,1.06125645494286,60330.475079553,1.02716945744032,-46873.7909326407
"2827",2016-06-27,-1540.42708333333,-2078.4375,-2219.6875,-1540.42708333333,"lib_flow",NA,NA,NA,9463.3079381086,-614.330145223812,1.03004922382805,59974.3969290778,0.979860081087485,-2885.55210003081
"2828",2016-06-28,-1703.85416666667,-3461.64583333333,-2496.32916666667,-1703.85416666667,"lib_flow",NA,NA,NA,9720.20476931716,-570.483375835696,1.06978588097822,61353.8206749188,1.00692844895543,-1772.38873151385
"2829",2016-06-29,-2221.10416666667,-5994.21875,-3002.84375,-2221.10416666667,"lib_flow",NA,NA,NA,9954.97744794206,-448.199485523547,1.13830825824531,61548.3031290663,1.06976220918975,-1026.79441134954
"2830",2016-06-30,-2068.05208333333,-4554.10416666667,-2714.82083333333,-2068.05208333333,"lib_flow",NA,NA,NA,10437.4275438971,-504.698485498188,1.1910072399503,63427.2147881216,1.13789532845019,-1392.7484411176
"2831",2016-07-01,-2238.22916666667,-4452.71875,-2694.54375,-2238.22916666667,"lib_flow",NA,NA,NA,10919.1589221873,-487.848120505413,1.23434532331637,67112.4265229941,1.19774786835141,-1507.22357038594
"2832",2016-07-02,-1680.04166666667,-1105,-2025,-1680.04166666667,"lib_flow",NA,NA,NA,11257.0772909796,-670.047506221347,1.23383583883472,67981.0356372701,1.19749121888148,-6152.1299219249
"2833",2016-07-03,-1477.3125,954.6875,-1613.0625,-1477.3125,"lib_flow",NA,NA,NA,11196.4424089576,-757.892619805061,1.26331282675575,67684.5730064038,1.22598102053796,7089.70977481153
"2834",2016-07-04,-1347.76041666667,2046.04166666667,-1394.79166666667,-1347.76041666667,"lib_flow",NA,NA,NA,11372.3016896732,-843.792527888568,1.27422821068078,68632.2904742776,1.23615649647281,3354.39358799035
"2835",2016-07-05,-1514.13333333333,2769.84375,-1250.03125,-1514.13333333333,"lib_flow",NA,NA,NA,11296.5675301619,-746.074819269236,1.27225407353703,68213.9113704017,1.22938355951408,2462.73499616726
"2836",2016-07-06,-972.502083333333,3923.85416666667,-1019.22916666667,-972.502083333333,"lib_flow",NA,NA,NA,10994.6822686145,-1130.55616610396,1.27222118494429,67226.9165449891,1.23532521110555,1713.28784632429
"2837",2016-07-07,-1089.15625,2655.83333333333,-1272.83333333333,-1089.15625,"lib_flow",NA,NA,NA,10847.7878863831,-995.980869263077,1.21873110871549,66141.4286711942,1.17938933332526,2490.42091011713
