"","date","yolo_dayflow","sac_dayflow","height_sac","inund_days","inundation","year"
"159",1984-07-08,22,21100,18.622380952381,0,0,"1984"
"160",1984-07-09,21,21200,18.6237007874016,0,0,"1984"
"161",1984-07-10,24,21200,18.58,0,0,"1984"
"162",1984-07-11,23,21300,18.64,0,0,"1984"
"163",1984-07-12,23,21200,18.66,0,0,"1984"
"164",1984-07-13,22,21200,18.63,0,0,"1984"
"165",1984-07-14,22,21600,18.95,0,0,"1984"
"166",1984-07-15,21,21600,18.71,0,0,"1984"
"167",1984-07-16,21,21900,18.79,0,0,"1984"
"168",1984-07-17,21,22000,18.77,0,0,"1984"
"169",1984-07-18,21,22200,18.72,0,0,"1984"
"170",1984-07-19,20,22600,18.83,0,0,"1984"
"171",1984-07-20,20,22500,18.66,0,0,"1984"
"172",1984-07-21,20,22200,18.82,0,0,"1984"
"173",1984-07-22,19,22900,19.01,0,0,"1984"
"174",1984-07-23,19,23100,19.06,0,0,"1984"
"175",1984-07-24,19,22700,19.13,0,0,"1984"
"176",1984-07-25,18,22800,19.04,0,0,"1984"
"177",1984-07-26,18,21500,19.24,0,0,"1984"
"178",1984-07-27,18,22700,19.29,0,0,"1984"
"179",1984-07-28,17,22100,19.07,0,0,"1984"
"180",1984-07-29,17,22300,19.05,0,0,"1984"
"181",1984-07-30,17,22100,19.2,0,0,"1984"
"182",1984-07-31,16,22100,19.2,0,0,"1984"
"183",1984-08-01,16,22000,19.21,0,0,"1984"
"184",1984-08-02,16,21300,19.07,0,0,"1984"
"185",1984-08-03,15,21000,18.92,0,0,"1984"
"186",1984-08-04,15,20700,19.04,0,0,"1984"
"187",1984-08-05,15,20300,19.21,0,0,"1984"
"188",1984-08-06,14,20400,19.32,0,0,"1984"
"189",1984-08-07,14,20500,19.34,0,0,"1984"
"190",1984-08-08,14,20100,19.1167088607595,0,0,"1984"
"191",1984-08-09,14,19800,18.86568,0,0,"1984"
"192",1984-08-10,11,19300,18.6046794871795,0,0,"1984"
"193",1984-08-11,13,18900,18.9,0,0,"1984"
"194",1984-08-12,12,18100,18.22,0,0,"1984"
"195",1984-08-13,15,17200,17.72,0,0,"1984"
"196",1984-08-14,16,16700,17.58,0,0,"1984"
"197",1984-08-15,18,16500,17.53,0,0,"1984"
"198",1984-08-16,17,16700,17.6656573705179,0,0,"1984"
"199",1984-08-17,18,16700,17.57,0,0,"1984"
"200",1984-08-18,16,16800,17.6,0,0,"1984"
"201",1984-08-19,13,17100,17.72,0,0,"1984"
"202",1984-08-20,13,17600,18.06,0,0,"1984"
"203",1984-08-21,15,17800,18.37,0,0,"1984"
"204",1984-08-22,15,18200,18.49,0,0,"1984"
"205",1984-08-23,17,18400,18.58,0,0,"1984"
"206",1984-08-24,17,18400,18.72,0,0,"1984"
"207",1984-08-25,17,18700,18.8349333333333,0,0,"1984"
"208",1984-08-26,20,18800,19.15,0,0,"1984"
"209",1984-08-27,20,19400,19.22,0,0,"1984"
"210",1984-08-28,21,19500,19.0048837209302,0,0,"1984"
"211",1984-08-29,19,19000,18.7941304347826,0,0,"1984"
"212",1984-08-30,20,18300,18.5216666666667,0,0,"1984"
"213",1984-08-31,18,18100,18.25,0,0,"1984"
"214",1984-09-01,18,18000,18.4284482758621,0,0,"1984"
"215",1984-09-02,18,18300,18.5088976377953,0,0,"1984"
"216",1984-09-03,12,18700,18.66,0,0,"1984"
"217",1984-09-04,10,18600,18.4744919786096,0,0,"1984"
"218",1984-09-05,13,18200,18.45,0,0,"1984"
"219",1984-09-06,13,17500,18.29,0,0,"1984"
"220",1984-09-07,14,17600,18.32,0,0,"1984"
"221",1984-09-08,15,18500,18.3565921787709,0,0,"1984"
"222",1984-09-09,14,18700,18.3694594594595,0,0,"1984"
"223",1984-09-10,14,17600,18.5,0,0,"1984"
"224",1984-09-11,14,17800,18.29,0,0,"1984"
"225",1984-09-12,18,18300,18.2,0,0,"1984"
"226",1984-09-13,21,18800,18.3,0,0,"1984"
"227",1984-09-14,19,18800,18.29,0,0,"1984"
"228",1984-09-15,20,18800,18.21,0,0,"1984"
"229",1984-09-16,21,18800,18.09,0,0,"1984"
"230",1984-09-17,21,18100,18.13,0,0,"1984"
"231",1984-09-18,21,18700,18.34,0,0,"1984"
"232",1984-09-19,24,19400,18.54,0,0,"1984"
"233",1984-09-20,24,19800,26.72,0,0,"1984"
"234",1984-09-21,22,19800,18.52,0,0,"1984"
"235",1984-09-22,21,18800,18.41,0,0,"1984"
"236",1984-09-23,18,18100,18.13,0,0,"1984"
"237",1984-09-24,17,17300,18.79203125,0,0,"1984"
"238",1984-09-25,17,15700,18.7256060606061,0,0,"1984"
"239",1984-09-26,18,14700,18.4655263157895,0,0,"1984"
"240",1984-09-27,19,14600,17.8493333333333,0,0,"1984"
"241",1984-09-28,19,14300,17.1128947368421,0,0,"1984"
"242",1984-09-29,21,14000,16.9078787878788,0,0,"1984"
"243",1984-09-30,20,14500,16.852890625,0,0,"1984"
"244",1984-10-01,19,15800,16.89,0,0,"1984"
"245",1984-10-02,19,15700,16.93,0,0,"1984"
"246",1984-10-03,21,15200,16.85,0,0,"1984"
"247",1984-10-04,20,14500,16.5,0,0,"1984"
"248",1984-10-05,20,14000,16.35,0,0,"1984"
"249",1984-10-06,20,13800,16.39,0,0,"1984"
"250",1984-10-07,19,14300,16.54,0,0,"1984"
"251",1984-10-08,20,14100,16.54,0,0,"1984"
"252",1984-10-09,20,14400,16.55,0,0,"1984"
"253",1984-10-10,21,14000,16.29,0,0,"1984"
"254",1984-10-11,22,14100,15.96,0,0,"1984"
"255",1984-10-12,22,13100,15.7,0,0,"1984"
"256",1984-10-13,19,13300,16.27,0,0,"1984"
"257",1984-10-14,19,13800,16.28,0,0,"1984"
"258",1984-10-15,19,13600,15.94,0,0,"1984"
"259",1984-10-16,20,12500,15.54,0,0,"1984"
"260",1984-10-17,23,13300,15.33,0,0,"1984"
"261",1984-10-18,20,12600,15.24,0,0,"1984"
"262",1984-10-19,20,12500,15.31,0,0,"1984"
"263",1984-10-20,20,12600,15.3,0,0,"1984"
"264",1984-10-21,19,12400,15.29,0,0,"1984"
"265",1984-10-22,20,12400,15.26,0,0,"1984"
"266",1984-10-23,21,12400,15.21,0,0,"1984"
"267",1984-10-24,18,11900,15.03,0,0,"1984"
"268",1984-10-25,17,11500,14.68,0,0,"1984"
"269",1984-10-26,17,11100,14.57,0,0,"1984"
"270",1984-10-27,17,11800,14.55,0,0,"1984"
"271",1984-10-28,18,11900,14.81,0,0,"1984"
"272",1984-10-29,18,12200,15.13,0,0,"1984"
"273",1984-10-30,19,12600,15.26,0,0,"1984"
"274",1984-10-31,19,12900,15.4,0,0,"1984"
"275",1984-11-01,19,13200,15.56,0,0,"1984"
"276",1984-11-02,20,12800,15.91,0,0,"1984"
"277",1984-11-03,21,14000,16.11,0,0,"1984"
"278",1984-11-04,22,13900,16.55,0,0,"1984"
"279",1984-11-05,23,14300,16.91,0,0,"1984"
"280",1984-11-06,23,14700,16.88,0,0,"1984"
"281",1984-11-07,23,14600,16.68,0,0,"1984"
"282",1984-11-08,27,14800,16.91,0,0,"1984"
"283",1984-11-09,23,15800,17.34,0,0,"1984"
"284",1984-11-10,24,16100,17.93,0,0,"1984"
"285",1984-11-11,27,17000,18,0,0,"1984"
"286",1984-11-12,27,17600,19.78,0,0,"1984"
"287",1984-11-13,34,22500,22.75,0,0,"1984"
"288",1984-11-14,26,29500,25.2,0,0,"1984"
"289",1984-11-15,1657,34000,25.58,0,0,"1984"
"290",1984-11-16,2186,34800,25.51,0,0,"1984"
"291",1984-11-17,2581,33700,24.91,0,0,"1984"
"292",1984-11-18,3010,33900,25.41,0,0,"1984"
"293",1984-11-19,3191,34500,25.29,0,0,"1984"
"294",1984-11-20,3255,33700,25.38,0,0,"1984"
"295",1984-11-21,3184,32400,25.13,0,0,"1984"
"296",1984-11-22,3045,32000,25.22,0,0,"1984"
"297",1984-11-23,2807,32200,25.2,0,0,"1984"
"298",1984-11-24,2453,31300,24.61,0,0,"1984"
"299",1984-11-25,2310,33400,27.04,0,0,"1984"
"300",1984-11-26,2522,37200,27.42,0,0,"1984"
"301",1984-11-27,2589,36900,27.16,0,0,"1984"
"302",1984-11-28,2786,37800,26.83,0,0,"1984"
"303",1984-11-29,3351,38600,27.98,0,0,"1984"
"304",1984-11-30,3408,41200,27.97,0,0,"1984"
"305",1984-12-01,2917,40500,27.7194488188976,0,0,"1984"
"306",1984-12-02,2398,38300,27.744126984127,0,0,"1984"
"307",1984-12-03,2164,36900,27.7554838709677,0,0,"1984"
"308",1984-12-04,2420,36400,27.7666666666667,0,0,"1984"
"309",1984-12-05,2930,38100,27.81,0,0,"1984"
"310",1984-12-06,2870,39100,27.9733333333333,0,0,"1984"
"311",1984-12-07,2590,39000,27.9733333333333,0,0,"1984"
"312",1984-12-08,2250,38200,27.9733333333333,0,0,"1984"
"313",1984-12-09,1911,36500,27.9733333333333,0,0,"1984"
"314",1984-12-10,1571,35100,27.9733333333333,0,0,"1984"
"315",1984-12-11,1548,34900,27.9733333333333,0,0,"1984"
"316",1984-12-12,2147,36300,27.9733333333333,0,0,"1984"
"317",1984-12-13,2298,38400,27.9733333333333,0,0,"1984"
"318",1984-12-14,1886,38400,27.9733333333333,0,0,"1984"
"319",1984-12-15,1397,37200,27.9733333333333,0,0,"1984"
"320",1984-12-16,1177,36700,25.7675,0,0,"1984"
"321",1984-12-17,37,35800,21.35,0,0,"1984"
"322",1984-12-18,38,34700,19.1433333333333,0,0,"1984"
"323",1984-12-19,42,33200,19.1433333333333,0,0,"1984"
"324",1984-12-20,40,32100,19.1433333333333,0,0,"1984"
"325",1984-12-21,39,31100,19.1433333333333,0,0,"1984"
"326",1984-12-22,38,29400,19.1433333333333,0,0,"1984"
"327",1984-12-23,38,27800,19.1433333333333,0,0,"1984"
"328",1984-12-24,38,26700,19.1433333333333,0,0,"1984"
"329",1984-12-25,39,25000,19.1433333333333,0,0,"1984"
"330",1984-12-26,40,23900,19.1433333333333,0,0,"1984"
"331",1984-12-27,41,23300,19.1433333333333,0,0,"1984"
"332",1984-12-28,42,22700,19.1014285714286,0,0,"1984"
"333",1984-12-29,42,21900,19.056,0,0,"1984"
"334",1984-12-30,42,21100,19.0229032258065,0,0,"1984"
"335",1984-12-31,42,20600,19.0026984126984,0,0,"1984"
"336",1985-01-01,43,20500,18.9935433070866,0,0,"1985"
"337",1985-01-02,44,20100,19.15,0,0,"1985"
"338",1985-01-03,45,19900,19.13,0,0,"1985"
"339",1985-01-04,45,19400,18.85,0,0,"1985"
"340",1985-01-05,46,18500,18.42,0,0,"1985"
"341",1985-01-06,46,17300,18.03,0,0,"1985"
"342",1985-01-07,52,17100,17.75,0,0,"1985"
"343",1985-01-08,51,17400,17.84,0,0,"1985"
"344",1985-01-09,49,17700,18.08,0,0,"1985"
"345",1985-01-10,52,18200,18.2,0,0,"1985"
"346",1985-01-11,47,18300,18.15,0,0,"1985"
"347",1985-01-12,46,18100,18.22,0,0,"1985"
"348",1985-01-13,46,17700,18.03,0,0,"1985"
"349",1985-01-14,48,17700,17.91,0,0,"1985"
"350",1985-01-15,48,17400,17.82,0,0,"1985"
"351",1985-01-16,48,17300,17.8,0,0,"1985"
"352",1985-01-17,48,16800,17.79,0,0,"1985"
"353",1985-01-18,49,16300,17.56,0,0,"1985"
"354",1985-01-19,48,16400,17.68,0,0,"1985"
"355",1985-01-20,47,16000,17.48,0,0,"1985"
"356",1985-01-21,48,15700,17.38,0,0,"1985"
"357",1985-01-22,49,15500,17.21,0,0,"1985"
"358",1985-01-23,50,15100,17.07,0,0,"1985"
"359",1985-01-24,50,14900,16.92,0,0,"1985"
"360",1985-01-25,50,14800,16.83,0,0,"1985"
"361",1985-01-26,50,14500,16.72,0,0,"1985"
"362",1985-01-27,50,14600,16.66,0,0,"1985"
"363",1985-01-28,51,14500,16.58,0,0,"1985"
"364",1985-01-29,53,14400,16.58,0,0,"1985"
"365",1985-01-30,52,14300,16.66,0,0,"1985"
"366",1985-01-31,52,14100,16.58,0,0,"1985"
"367",1985-02-01,52,14300,16.62,0,0,"1985"
"368",1985-02-02,51,14300,16.58,0,0,"1985"
"369",1985-02-03,49,14600,16.63,0,0,"1985"
"370",1985-02-04,49,14700,16.63,0,0,"1985"
"371",1985-02-05,48,14500,16.72,0,0,"1985"
"372",1985-02-06,48,14900,16.63,0,0,"1985"
"373",1985-02-07,50,14500,16.56,0,0,"1985"
"374",1985-02-08,576,16900,18.88,0,0,"1985"
"375",1985-02-09,1730,28300,24.24,0,0,"1985"
"376",1985-02-10,1146,33500,24.82,0,0,"1985"
"377",1985-02-11,29,30200,23.85,0,0,"1985"
"378",1985-02-12,28,25400,21.64,0,0,"1985"
"379",1985-02-13,29,22200,20.09,0,0,"1985"
"380",1985-02-14,35,19500,18.99,0,0,"1985"
"381",1985-02-15,31,17500,18.05,0,0,"1985"
"382",1985-02-16,30,15900,17.19,0,0,"1985"
"383",1985-02-17,30,15700,16.67,0,0,"1985"
"384",1985-02-18,30,15800,16.49,0,0,"1985"
"385",1985-02-19,30,15600,16.36,0,0,"1985"
"386",1985-02-20,30,16000,16.37,0,0,"1985"
"387",1985-02-21,30,16500,16.74,0,0,"1985"
"388",1985-02-22,30,17300,16.96,0,0,"1985"
"389",1985-02-23,30,17600,16.96,0,0,"1985"
"390",1985-02-24,29,17500,16.88,0,0,"1985"
"391",1985-02-25,30,17200,16.82,0,0,"1985"
"392",1985-02-26,30,17300,16.79,0,0,"1985"
"393",1985-02-27,31,17200,16.79,0,0,"1985"
"394",1985-02-28,79,16700,16.67,0,0,"1985"
"395",1985-03-01,51,15100,16.28,0,0,"1985"
"396",1985-03-02,32,14900,16.02,0,0,"1985"
"397",1985-03-03,30,13600,15.87,0,0,"1985"
"398",1985-03-04,30,13000,15.77,0,0,"1985"
"399",1985-03-05,0,13300,15.74,0,0,"1985"
"400",1985-03-06,0,13200,15.75,0,0,"1985"
"401",1985-03-07,0,14400,16.46,0,0,"1985"
"402",1985-03-08,0,16300,17.15,0,0,"1985"
"403",1985-03-09,0,16800,17.52,0,0,"1985"
"404",1985-03-10,0,17200,17.53,0,0,"1985"
"405",1985-03-11,0,17400,17.95,0,0,"1985"
"406",1985-03-12,0,18800,18.19,0,0,"1985"
"407",1985-03-13,0,18100,18.17,0,0,"1985"
"408",1985-03-14,0,16600,17.72,0,0,"1985"
"409",1985-03-15,0,15100,17.12,0,0,"1985"
"410",1985-03-16,0,13900,16.28,0,0,"1985"
"411",1985-03-17,0,13000,15.71,0,0,"1985"
"412",1985-03-18,0,12500,15.49,0,0,"1985"
"413",1985-03-19,0,12600,15.44,0,0,"1985"
"414",1985-03-20,0,12500,15.42,0,0,"1985"
"415",1985-03-21,0,12100,15.33,0,0,"1985"
"416",1985-03-22,0,11600,15.06,0,0,"1985"
"417",1985-03-23,0,11300,14.91,0,0,"1985"
"418",1985-03-24,0,11300,14.87,0,0,"1985"
"419",1985-03-25,0,11500,14.78,0,0,"1985"
"420",1985-03-26,0,10800,14.86,0,0,"1985"
"421",1985-03-27,0,12600,15.85,0,0,"1985"
"422",1985-03-28,0,14900,16.95,0,0,"1985"
"423",1985-03-29,0,16300,17.44,0,0,"1985"
"424",1985-03-30,0,16600,17.55,0,0,"1985"
"425",1985-03-31,0,16300,17.47,0,0,"1985"
"426",1985-04-01,0,15700,17.18,0,0,"1985"
"427",1985-04-02,0,14800,16.79,0,0,"1985"
"428",1985-04-03,0,14200,16.59,0,0,"1985"
"429",1985-04-04,0,14200,16.56,0,0,"1985"
"430",1985-04-05,0,13900,16.47,0,0,"1985"
"431",1985-04-06,0,13300,16.38,0,0,"1985"
"432",1985-04-07,0,13300,15.97,0,0,"1985"
"433",1985-04-08,0,12900,15.89,0,0,"1985"
"434",1985-04-09,0,12700,15.87,0,0,"1985"
"435",1985-04-10,0,12800,15.84,0,0,"1985"
"436",1985-04-11,0,12400,15.36,0,0,"1985"
"437",1985-04-12,0,11700,14.82,0,0,"1985"
"438",1985-04-13,0,11600,14.65,0,0,"1985"
"439",1985-04-14,0,11300,14.47,0,0,"1985"
"440",1985-04-15,0,11000,14.89,0,0,"1985"
"441",1985-04-16,0,12700,15.24,0,0,"1985"
"442",1985-04-17,0,13900,15.33,0,0,"1985"
"443",1985-04-18,0,13300,15.34,0,0,"1985"
"444",1985-04-19,0,13800,15.35,0,0,"1985"
"445",1985-04-20,0,13600,15.24,0,0,"1985"
"446",1985-04-21,0,13100,15.11,0,0,"1985"
"447",1985-04-22,0,13300,15,0,0,"1985"
"448",1985-04-23,0,13200,15.15,0,0,"1985"
"449",1985-04-24,0,12100,15.03,0,0,"1985"
"450",1985-04-25,0,11100,14.67,0,0,"1985"
"451",1985-04-26,0,10500,14.29,0,0,"1985"
"452",1985-04-27,0,9800,14,0,0,"1985"
"453",1985-04-28,0,9170,13.44,0,0,"1985"
"454",1985-04-29,0,9610,13.14,0,0,"1985"
"455",1985-04-30,0,9880,13.19,0,0,"1985"
"456",1985-05-01,0,10200,13.29,0,0,"1985"
"457",1985-05-02,0,10700,13.47,0,0,"1985"
"458",1985-05-03,0,11600,13.92,0,0,"1985"
"459",1985-05-04,0,12200,14.18,0,0,"1985"
"460",1985-05-05,0,12000,14.27,0,0,"1985"
"461",1985-05-06,0,12000,14.35,0,0,"1985"
"462",1985-05-07,0,12300,14.16,0,0,"1985"
"463",1985-05-08,0,12600,14.32,0,0,"1985"
"464",1985-05-09,0,13100,14.46,0,0,"1985"
"465",1985-05-10,0,13500,14.63,0,0,"1985"
"466",1985-05-11,0,14000,14.8,0,0,"1985"
"467",1985-05-12,0,14100,14.86,0,0,"1985"
"468",1985-05-13,0,14200,14.95,0,0,"1985"
"469",1985-05-14,0,13800,15.07,0,0,"1985"
"470",1985-05-15,0,13300,15.24,0,0,"1985"
"471",1985-05-16,0,12900,17.04,0,0,"1985"
"472",1985-05-17,0,15100,17.4,0,0,"1985"
"473",1985-05-18,0,15000,17.47,0,0,"1985"
"474",1985-05-19,0,14600,17.42,0,0,"1985"
"475",1985-05-20,0,13200,15.9,0,0,"1985"
"476",1985-05-21,0,13200,15.46,0,0,"1985"
"477",1985-05-22,0,12900,15.51,0,0,"1985"
"478",1985-05-23,0,12800,15.46,0,0,"1985"
"479",1985-05-24,0,12900,15.4,0,0,"1985"
"480",1985-05-25,0,13800,15.63,0,0,"1985"
"481",1985-05-26,0,14600,15.65,0,0,"1985"
"482",1985-05-27,0,14700,15.91,0,0,"1985"
"483",1985-05-28,0,14900,16.07,0,0,"1985"
"484",1985-05-29,0,15200,16.31,0,0,"1985"
