"date","mean","max","min","sd","cv","site","n()","category","method","length"
2015-03-13,17.5438596491228,18.2222222222222,17,0.480640083086644,2.73964847359387,"LIS",95,"data","CDEC",NA
2015-03-14,18.3165509259259,19.0555555555556,17.8333333333333,0.489003162592815,2.66973386294393,"LIS",96,"data","CDEC",NA
2015-03-15,19.0127314814815,19.3888888888889,18.7222222222222,0.211967969717758,1.11487384084825,"LIS",96,"data","CDEC",NA
2015-03-16,18.8362268518519,19.0555555555556,18.6666666666667,0.118296823752183,0.628028238790045,"LIS",96,"data","CDEC",NA
2015-03-17,18.8373842592593,19.8333333333333,18.3333333333333,0.382210389425391,2.02899927168774,"LIS",96,"data","CDEC",NA
2015-03-18,18.5457175925926,19.0555555555556,18,0.343603462278222,1.85273748811673,"LIS",96,"data","CDEC",NA
2015-03-19,18.7349537037037,19.4444444444444,18.1111111111111,0.427261339866999,2.28055722274101,"LIS",96,"data","CDEC",NA
2015-03-20,18.4888888888889,18.8888888888889,18.1111111111111,0.208909762047516,1.12992058799738,"LIS",95,"data","CDEC",NA
2015-03-21,18.2077546296296,18.7777777777778,17.7222222222222,0.362222293228804,1.98938474620784,"LIS",96,"data","CDEC",NA
2015-03-22,18.0555555555556,18.5,17.6666666666667,0.260204348145879,1.44113177434641,"LIS",96,"data","CDEC",NA
2015-03-23,17.9305555555556,18.3888888888889,17.5,0.289293463894557,1.61341048802542,"LIS",96,"data","CDEC",NA
2015-03-24,18.0260416666667,18.6666666666667,17.5,0.42531593004598,2.35945271796672,"LIS",96,"data","CDEC",NA
2015-03-25,18.0706018518519,18.5555555555556,17.5555555555556,0.311932829471022,1.72618948736926,"LIS",96,"data","CDEC",NA
2015-03-26,18.4675925925926,19,18.0555555555556,0.313821388660716,1.69930859741074,"LIS",96,"data","CDEC",NA
2015-03-27,19.1313657407407,19.7222222222222,18.7222222222222,0.37447123575929,1.95736802502209,"LIS",96,"data","CDEC",NA
2015-03-28,19.4594907407407,20.1111111111111,18.8333333333333,0.389805033376837,2.00316153475041,"LIS",96,"data","CDEC",NA
2015-03-29,19.5532407407407,20.4444444444444,18.8888888888889,0.527410870720389,2.69730669055532,"LIS",96,"data","CDEC",NA
