chlorophyll,WTmwk,Q_sday,inund_factor,region,water_year
5.98,7.771880662462853,82,none,yolo,2012
3.64,10.234851190476189,13500,none,upstream,2012
7.05,10.886943164362515,96,none,yolo,2012
2.21,10.988690476190486,14000,none,downstream,2012
6.19,10.884955357142871,11900,none,upstream,2012
4.93,11.241964285714284,10300,none,upstream,2012
15.38,11.88405766276733,204,none,yolo,2012
1.63,12.178950216450229,21000,none,downstream,2012
1.7,12.178950216450229,21000,none,downstream,2012
2.7,12.039880952380956,34200,none,downstream,2012
2.3,11.5863988095238,21800,none,upstream,2012
3.65,13.442857142857145,142,none,yolo,2012
1.92,12.309915726817028,27000,none,upstream,2012
4.59,14.495391705069114,150,none,yolo,2012
1.3,13.641946640316188,17300,none,downstream,2012
1.4,13.916351402220943,24100,none,downstream,2012
2.35,13.411944124423956,31300,none,upstream,2012
7.8,16.02331716953443,158,none,yolo,2012
2.96,17.309293238217485,18000,none,upstream,2012
10.79,21.461109282422644,335,none,yolo,2012
2.4,13.196428571428571,55100,short,downstream,2013
4.69999980926514,13.2047619047619,54600,short,downstream,2013
5.69999980926514,13.2047619047619,54600,short,downstream,2013
0.93,12.8059523809524,42600,short,downstream,2013
1.48,11.713497023809516,31100,none,upstream,2013
4.04,12.053429800013642,3812,none,yolo,2013
2.44,8.452812500000002,61900,short,upstream,2013
2.95,7.819074052989628,15596,short,yolo,2013
1.19,7.662247023809524,29000,none,upstream,2013
1.72,6.8285433812778615,3097,none,yolo,2013
1.23,7.490863095238096,20500,none,upstream,2013
4.71,7.0529761904761905,86,none,yolo,2013
2,7.473214285714285,19700,none,downstream,2013
1.32,6.7755357142857155,16000,none,upstream,2013
4.84,5.886309523809522,96,none,yolo,2013
1.24,6.893015873015873,14000,none,downstream,2013
1.76,7.593377976190476,15000,none,upstream,2013
6.62,7.5285714285714285,94,none,yolo,2013
2.69999992847442,7.23670634920635,15500,none,downstream,2013
3.09999990463257,7.23670634920635,15500,none,downstream,2013
1.7,9.364627976190476,17000,none,upstream,2013
7.37,10.6357142857143,91,none,yolo,2013
2.48,9.880416666666678,15300,none,upstream,2013
5.98,11.379761904761883,147,none,yolo,2013
2.8,9.61572916666667,13700,none,upstream,2013
5.55,10.472619047619032,101,none,yolo,2013
2.5,10.592857142857158,14800,none,downstream,2013
4.29999971389771,10.592857142857158,14800,none,downstream,2013
1.34,10.701785714285728,13400,none,downstream,2013
2.31,10.505595238095252,12200,none,upstream,2013
5.98,11.614285714285714,95,none,yolo,2013
2.3,10.672619047619056,10200,none,downstream,2013
2.29,10.17736607142858,11400,none,upstream,2013
13.03,11.073809523809528,137,none,yolo,2013
2.79,12.310357142857145,10900,none,upstream,2013
13.56,13.810119047619027,234,none,yolo,2013
24.99,13.810119047619027,234,none,yolo,2013
2.6,12.880148809523828,14100,none,upstream,2013
21.47,14.775698757763973,420,none,yolo,2013
33.96,14.775698757763973,420,none,yolo,2013
5.45,14.618541666666657,12700,none,upstream,2013
19.86,17.386904761904756,469,none,yolo,2013
44.11,17.386904761904756,469,none,yolo,2013
3.46,15.133928571428555,10800,none,downstream,2013
4,14.7190476190476,9170,none,downstream,2013
4.19999980926514,14.5845238095238,9170,none,downstream,2013
2.39999985694885,14.5845238095238,9170,none,downstream,2013
21.68,16.2146875,16000,none,upstream,2013
8.67,18.351190476190485,398,none,yolo,2013
11.75,18.351190476190485,398,none,yolo,2013
4.83,16.622931547619043,12100,none,upstream,2013
8.58,18.486309523809513,369,none,yolo,2013
15.91,18.486309523809513,369,none,yolo,2013
8.12,16.879761904761914,4080,none,downstream,2013
13.46,16.879761904761914,4080,none,downstream,2013
5.6,17.042261904761915,1700,none,downstream,2013
6.51,19.6267857142857,11000,none,upstream,2013
19.5,20.269642857142884,689,none,yolo,2013
28.09,20.269642857142884,689,none,yolo,2013
3.29999995231628,18.641071428571443,8830,none,downstream,2013
3.19999980926514,18.641071428571443,8830,none,downstream,2013
1.51,9.045833333333333,5320,none,downstream,2014
1.84,9.045833333333333,5320,none,downstream,2014
2,6.747842261904761,7860,none,upstream,2014
6.75,5.4416666666666655,83,none,yolo,2014
2.99,5.670833333333332,84,none,yolo,2014
13.24,7.39653273809524,86,none,yolo,2014
8.76,7.39653273809524,86,none,yolo,2014
1.87,8.451145833333333,7630,none,upstream,2014
6.47,7.799345238095238,89,none,yolo,2014
1.65,8.772803666921314,4530,none,downstream,2014
2.8,8.772803666921314,4530,none,downstream,2014
2.27,8.85943906641604,6450,none,upstream,2014
3.5,9.09940476190476,3790,none,downstream,2014
7.2,8.319940476190476,146,none,yolo,2014
7.28,8.319940476190476,146,none,yolo,2014
9.08,8.896026785714286,253,none,yolo,2014
5.72,9.776532738095236,5790,none,upstream,2014
10.83,9.720654761904768,374,none,yolo,2014
11.11,9.720654761904768,374,none,yolo,2014
2.59999990463257,10.467857142857149,5540,none,downstream,2014
8.97,11.03272321428573,262,none,yolo,2014
2.2,10.771428571428572,18500,none,downstream,2014
