doy1998,date,Q_upstream,Q_downstream,inundation,inund_days,inund_factor,Q_yolo,WTmwk_downstream,WTmwk_upstream,WTmwk_yolo,sradmwk_downstream,sradmwk_upstream,sradmwk_yolo
7615,2018-11-06,7070,4130,0,0,none,84,16.532142857142844,15.468014363354042,15.743358600583086,288.5728571428571,292.1142857142857,293.26428571428573
7616,2018-11-07,6830,3920,0,0,none,73,16.463095238095214,15.390454839544514,15.643358600583086,286.32,289.7785714285714,289.15285714285716
7617,2018-11-08,6610,3790,0,0,none,70,16.31666666666664,15.275916149068328,15.400501457725943,277.21142857142854,280.02285714285716,279.5885714285714
7618,2018-11-09,6600,1610,0,0,none,69,16.085119047619028,14.983073887163572,15.030428284876344,270.52714285714285,273.9685714285714,272.30857142857144
7619,2018-11-10,6260,1170,0,0,none,69,15.77797619047617,14.555811982401671,14.601342974256472,267.3442857142857,269.68285714285713,267.9685714285714
7620,2018-11-11,6260,2620,0,0,none,67,15.422023809523786,14.0313392857143,14.121036742007643,265.2214285714286,268.98285714285714,267.31857142857143
7621,2018-11-12,6200,3300,0,0,none,67,15.0267857142857,13.441175595238114,13.549470089789885,267.51,271.07,268.6514285714286
7622,2018-11-13,6360,4660,0,0,none,67,14.622619047619029,12.844345238095256,13.045187172187328,260.7471428571429,263.9428571428571,260.82
7623,2018-11-14,6520,5020,0,0,none,67,14.197619047619028,12.2489285714286,12.488084911669644,257.0442857142857,259.01714285714286,256.42
7624,2018-11-15,6640,4820,0,0,none,71,13.79557453416147,11.698854166666685,12.094355917370715,256.61,258.94,255.5742857142857
7625,2018-11-16,6790,3620,0,0,none,80,13.408074534161472,11.259672619047628,11.746800532097271,257.4714285714286,260.2528571428571,257.5942857142857
7626,2018-11-17,7010,3290,0,0,none,87,13.038431677018615,10.924583333333343,11.418986708319187,257.19,261.15142857142854,258.1428571428571
7627,2018-11-18,7020,3190,0,0,none,94,12.685455486542429,10.694181547619056,11.121304741560328,255.37,259.00857142857143,255.7042857142857
